# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
Solution Scope,Active Developers,100 developers,100 developers,250 developers,500+ developers,GitHub Enterprise user count,,,,,
Solution Scope,Development Teams,8-10 teams,8-10 teams,15-20 teams,30+ teams,Team onboarding and rollout scope,,,,,
Integration,Applications with CI/CD,20-50 applications,20-50 apps,60-100 apps,150+ apps,Pipeline development scope,,,,,
Integration,Builds Per Day,200 builds/day,200 builds,500 builds,1000+ builds,Daily pipeline execution volume,,,,,
Integration,Migration Source,Jenkins GitLab CI,1 platform,2 platforms,3+ platforms,CI/CD platform migration complexity,,,,,
Integration,Deployment Targets,AWS (EC2 ECS EKS Lambda),Single cloud,Multi-cloud (AWS Azure),All clouds (AWS Azure GCP),Cloud provider deployment scope,,,,,
User Base,Self-Hosted Runners,20 runners (c5.2xlarge),20 runners,50 runners,100+ runners,Runner infrastructure scale,,,,,
User Base,Runner OS,Linux + Windows,2 OS types,3 OS types (+ macOS),Custom OS images,Multi-platform build support,,,,,
Data Volume,Average Build Duration,20 minutes,20 minutes,45 minutes,90+ minutes,Pipeline execution time and optimization,,,,,
Data Volume,Reusable Workflows,15 workflow templates,15 templates,30 templates,60+ templates,Centralized workflow library scope,,,,,
Technical Environment,Technology Stack,.NET Node.js Python Docker,3-4 stacks,5-7 stacks,10+ stacks,Application technology diversity,,,,,
Technical Environment,Container Registries,GitHub Packages + AWS ECR,2 registries,3-4 registries,5+ registries,Artifact storage integration,,,,,
Technical Environment,Kubernetes,AWS EKS clusters,1 K8s platform,2 K8s platforms,Multi-cluster multi-cloud,Kubernetes deployment complexity,,,,,
Security & Compliance,OIDC Integration,AWS Azure keyless auth,1 cloud OIDC,2 clouds OIDC,3+ clouds OIDC,Federated identity integration,,,,,
Security & Compliance,Security Scanning,CodeQL Dependabot,2 scan types,3 scan types,4+ scan types,Security automation in pipelines,,,,,
Performance,Deployment Environments,Dev test staging production,4 environments,5 environments,7+ environments,Environment management complexity,,,,,
# ESTIMATE SETTINGS,,,,,,,,,,
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (CI/CD Assessment, Pipeline Inventory, Requirements Analysis, Compliance Review)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (Actions Architecture, Workflow Design, Runner Infrastructure, Integration Planning)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Runner Setup, Pipeline Migration, Workflow Templates, OIDC Integration, Security Integration)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Pipeline Testing, Performance Testing, Security Testing, Integration Testing)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Rollout, Application Migration, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (DevOps Training, Developer Training, Administrator Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)",,,,,,,
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours,,,,,,,
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 10% of actual engineering hours,,,,,,,
# Level of Effort,
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,CI/CD Platform Assessment,Conduct current state Jenkins/GitLab CI evaluation,EO Engineer,40,='Estimate Settings'!$C$3,=$E33*$F33,$225,"=TEXT($G33*$H33,""$#,##0"")",,Includes pipeline inventory and complexity analysis
Discovery,Pipeline Inventory,Analyze existing pipelines builds and deployment workflows,EO Engineer,32,='Estimate Settings'!$C$3,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",,Customer must provide pipeline access and documentation
Discovery,Requirements Analysis,Evaluate GitHub Actions features and migration requirements,EO Engineer,24,='Estimate Settings'!$C$3,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",,Assess workflow automation deployment and integration needs
