#WIDTH: 25,15,35,25,25,25,45,10,12,16,20
#ALIGN: left,left,left,left,left,left,left,center,left,center,left
Parameter Name,Category,Description,Production,Test,DR,Validation Rules,Required,Data Type,Security Level,Notes
ocp_cluster_name,Cluster,OpenShift cluster identifier,ocp-prod,ocp-test,ocp-dr,Max 63 chars lowercase alphanumeric,Yes,String,Public,Must be unique within DNS domain
ocp_base_domain,Cluster,Base domain for cluster DNS and routing,example.com,example.com,example.com,Valid DNS domain format,Yes,String,Public,Wildcard DNS required for routes
ocp_version,Cluster,Red Hat OpenShift Container Platform version,4.14.10,4.14.10,4.14.10,4.x.x format,Yes,String,Public,LTS version recommended for production
ocp_api_endpoint,Cluster,OpenShift API server endpoint URL,https://api.ocp-prod.example.com:6443,https://api.ocp-test.example.com:6443,https://api.ocp-dr.example.com:6443,Valid HTTPS URL,Yes,String,Public,Load balanced endpoint
ocp_console_url,Cluster,OpenShift web console URL,https://console-openshift-console.apps.ocp-prod.example.com,https://console-openshift-console.apps.ocp-test.example.com,https://console-openshift-console.apps.ocp-dr.example.com,Valid HTTPS URL,Yes,String,Public,User-facing dashboard
control_plane_nodes,Cluster,Number of control plane (master) nodes,3,3,3,1|3|5,Yes,Integer,Public,Odd number for etcd quorum
worker_nodes,Cluster,Number of worker nodes for workloads,3,2,3,Minimum 2,Yes,Integer,Public,Scale based on workload
control_plane_cpu,Compute,vCPU cores per control plane node,8,4,8,Minimum 4,Yes,Integer,Public,8 cores for production
control_plane_memory,Compute,Memory (GB) per control plane node,32,16,32,Minimum 16,Yes,Integer,Public,32GB minimum for production
worker_node_cpu,Compute,vCPU cores per worker node,16,8,16,Minimum 4,Yes,Integer,Public,Size based on container density
worker_node_memory,Compute,Memory (GB) per worker node,64,32,64,Minimum 8,Yes,Integer,Public,64GB for high-density workloads
ocp_network_type,Network,OpenShift network plugin type,OVNKubernetes,OVNKubernetes,OVNKubernetes,OVNKubernetes|OpenShiftSDN,Yes,String,Public,OVN recommended for new clusters
pod_network_cidr,Network,CIDR block for pod networking,10.128.0.0/14,10.128.0.0/14,10.128.0.0/14,Valid CIDR notation,Yes,String,Public,Default OpenShift pod network
service_network_cidr,Network,CIDR block for service networking,172.30.0.0/16,172.30.0.0/16,172.30.0.0/16,Valid CIDR notation,Yes,String,Public,Default OpenShift service network
cluster_network_mtu,Network,Maximum transmission unit for cluster,1400,1400,1400,1200-9000,Yes,Integer,Public,Adjust for overlay overhead
odf_storage_size,Storage,Total ODF storage capacity,20TB,5TB,20TB,TB format,Yes,String,Public,Persistent volume storage pool
storage_class_block,Storage,Storage class for block storage PVCs,ocs-storagecluster-ceph-rbd,ocs-storagecluster-ceph-rbd,ocs-storagecluster-ceph-rbd,Valid storage class name,Yes,String,Public,RBD for databases
storage_class_file,Storage,Storage class for file storage PVCs,ocs-storagecluster-cephfs,ocs-storagecluster-cephfs,ocs-storagecluster-cephfs,Valid storage class name,Yes,String,Public,CephFS for shared file access
ldap_enabled,Authentication,Enable LDAP/AD integration,true,false,true,true|false,Yes,Boolean,Public,SSO with enterprise directory
ldap_url,Authentication,Corporate LDAP/AD server URL,ldaps://ldap.example.com:636,ldaps://ldap.example.com:636,ldaps://ldap.example.com:636,Valid LDAPS URL,Yes,String,Confidential,Use LDAPS for encryption
ldap_bind_dn,Authentication,LDAP service account DN,CN=ocp-svc;OU=ServiceAccounts;DC=example;DC=com,CN=ocp-svc;OU=ServiceAccounts;DC=example;DC=com,CN=ocp-svc;OU=ServiceAccounts;DC=example;DC=com,Valid LDAP DN format,Yes,String,Confidential,Read-only service account
ldap_user_search_base,Authentication,LDAP base DN for user searches,OU=Users;DC=example;DC=com,OU=Users;DC=example;DC=com,OU=Users;DC=example;DC=com,Valid LDAP DN format,Yes,String,Confidential,Scope users to specific OU
ldap_group_search_base,Authentication,LDAP base DN for group searches,OU=Groups;DC=example;DC=com,OU=Groups;DC=example;DC=com,OU=Groups;DC=example;DC=com,Valid LDAP DN format,Yes,String,Confidential,Map groups to RBAC roles
oauth_timeout,Authentication,OAuth token timeout in seconds,86400,86400,86400,3600-604800,Yes,Integer,Public,24 hours default
prometheus_enabled,Monitoring,Enable Prometheus monitoring,true,true,true,true|false,Yes,Boolean,Public,Required for observability
prometheus_retention,Monitoring,Prometheus metrics retention period,15d,7d,15d,Valid time duration,Yes,String,Public,Balance retention vs storage
alertmanager_config,Monitoring,Alertmanager notification target,pagerduty,email,pagerduty,pagerduty|slack|email,Yes,String,Confidential,PagerDuty for production
grafana_enabled,Monitoring,Enable Grafana dashboards,true,true,true,true|false,Yes,Boolean,Public,Visualization dashboards
efk_enabled,Logging,Enable EFK logging stack,true,true,true,true|false,Yes,Boolean,Public,Centralized logging
efk_log_retention,Logging,Elasticsearch log retention period,7d,3d,7d,Valid time duration,Yes,String,Public,7 days hot storage default
elasticsearch_storage,Logging,Elasticsearch storage per node,500Gi,100Gi,500Gi,Valid storage size,Yes,String,Public,Size based on log volume
quay_enabled,Registry,Enable Quay container registry,true,false,true,true|false,Yes,Boolean,Public,Internal registry for CI/CD
quay_hostname,Registry,Quay container registry hostname,quay.apps.ocp-prod.example.com,quay.apps.ocp-test.example.com,quay.apps.ocp-dr.example.com,Valid hostname,Yes,String,Public,Internal registry
quay_storage_size,Registry,Quay image storage capacity,1TB,100Gi,1TB,Valid storage size,Yes,String,Public,Size based on image count
argocd_enabled,GitOps,Enable ArgoCD for GitOps,true,true,true,true|false,Yes,Boolean,Public,Declarative deployment
argocd_repo_url,GitOps,ArgoCD Git repository URL,https://github.com/company/gitops-config,https://github.com/company/gitops-config,https://github.com/company/gitops-config,Valid Git URL,Yes,String,Public,Application manifests
