# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
Solution Scope,Server Count,500 servers (Linux/Windows),500 servers,1000 servers,2000+ servers,Managed server inventory size,,,,,
Solution Scope,Network Device Count,100 network devices,100 devices,200 devices,500+ devices,Routers switches firewalls,,,,,
Solution Scope,Playbook Count,100 custom automation playbooks,100 playbooks,250 playbooks,500+ playbooks,Server network cloud compliance automation,,,,,
Integration,ITSM Integration,ServiceNow ticket-driven workflows,ServiceNow,ServiceNow + JIRA,Multiple ITSM platforms complex workflows,Service ticket automation integration,,,,,
Integration,External Systems,Monitoring systems + credential vault,2-3 systems,4-6 systems,8+ systems or complex integrations,Monitoring vaults CMDBs cloud providers,,,,,
User Base,Automation Users,50 operations staff,50 users,100-200 users,500+ users,Platform users and automation developers,,,,,
User Base,User Roles,5 roles (operator admin developer approver auditor),5 standard roles,8-10 roles,15+ roles with complex RBAC,Role-based access control requirements,,,,,
Data Volume,Automation Executions,10000+ job runs per month,10K jobs/month,50K jobs/month,200K+ jobs/month,Monthly automation job execution volume,,,,,
Data Volume,Inventory Management,600 managed nodes total,600 nodes,1500 nodes,5000+ nodes,Total managed infrastructure inventory,,,,,
Technical Environment,Deployment Platform,AWS/Azure cloud infrastructure,Single cloud provider,Multi-cloud (AWS + Azure),Complex hybrid cloud + on-prem,Infrastructure hosting for automation platform,,,,,
Technical Environment,Availability Requirements,HA controller cluster (99.5% uptime),Multi-node HA,Multi-region HA,Global with DR,Platform availability configuration,,,,,
Technical Environment,Infrastructure Complexity,Controller HA + distributed execution nodes,Standard HA cluster,Advanced with geo-distributed nodes,Complex multi-region federated platform,Automation platform infrastructure complexity,,,,,
Security & Compliance,Security Requirements,RBAC + credential vault integration,Basic RBAC + vault,Industry standard (SOC2),Advanced (FedRAMP multi-framework),Platform and automation security,,,,,
Security & Compliance,Compliance Frameworks,SOC2 ISO 27001,1-2 basic standards,2-3 industry standards,Multiple complex frameworks,Compliance and governance requirements,,,,,
Performance,Execution Capacity,100 concurrent job executions,100 concurrent jobs,500 concurrent jobs,2000+ concurrent jobs,Platform concurrent automation capacity,,,,,
Performance,Automation Orchestration,Event-driven automation + scheduled jobs,Basic event-driven,Advanced orchestration,Complex workflow automation,Automation execution patterns,,,,,
Environment,Deployment Environments,2 environments (dev/staging + prod),2 environments,3 environments,4+ environments multi-cluster,Environment management for automation platform,,,,,
# ESTIMATE SETTINGS,,,,,,,,,,
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Requirements Gathering, Infrastructure Assessment, Automation Assessment, Compliance Review)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (Automation Platform Design, Network Design, Integration Design, Security Design, Project Planning)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Platform Deployment, Playbook Development, ServiceNow Integration, Event-Driven Automation)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Unit Testing, Integration Testing, Performance Testing, Security Testing, UAT)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Deployment, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, Developer Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)",,,,,,,
Management,MANAGEMENT_MX,1.5,Project Management overhead - 10% of actual engineering hours,,,,,,,
Leadership,LEADERSHIP_MX,1.5,Quarterback/Technical Leadership overhead - 10% of actual engineering hours,,,,,,,
# Level of Effort,
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Requirements Gathering,Conduct stakeholder interviews for automation platform requirements,EO Engineer,40,='Estimate Settings'!$C$3,=$E33*$F33,$150,"=TEXT($G33*$H33,""$#,##0"")",,Includes automation use cases and infrastructure inventory analysis
Discovery,Infrastructure Assessment,Analyze current IT operations and manual process inefficiencies,EO Engineer,32,='Estimate Settings'!$C$3,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",,Customer must provide infrastructure details and operational workflows
Discovery,Automation Assessment,Evaluate automation opportunities and prioritize high-value use cases,EO Engineer,32,='Estimate Settings'!$C$3,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",,Customer must provide process documentation and pain points
Discovery,Compliance Review,Assess security governance and compliance requirements for automation,EO Engineer,16,='Estimate Settings'!$C$3,=$E36*$F36,$175,"=TEXT($G36*$H36,""$#,##0"")",,Identifies regulatory requirements and security controls
Planning,Automation Platform Design,Design Ansible platform architecture with HA controller and execution nodes,EO Engineer,48,='Estimate Settings'!$C$4,=$E37*$F37,$200,"=TEXT($G37*$H37,""$#,##0"")",Requirements Gathering,Deliverable: Ansible architecture with HA controller cluster and distributed execution
Planning,Network Architecture Design,Design network connectivity for automation controller and managed infrastructure,EO Engineer,24,='Estimate Settings'!$C$4,=$E38*$F38,$180,"=TEXT($G38*$H38,""$#,##0"")",Automation Platform Design,Deliverable: Network design with firewall rules and connectivity
Planning,Integration Design,Design ServiceNow integration and event-driven automation workflows,EO Engineer,32,='Estimate Settings'!$C$4,=$E39*$F39,$175,"=TEXT($G39*$H39,""$#,##0"")",Automation Platform Design,ITSM ticket-driven automation and monitoring webhooks
Planning,Security Architecture,Design RBAC credential vault integration and audit controls,EO Engineer,24,='Estimate Settings'!$C$4,=$E40*$F40,$175,"=TEXT($G40*$H40,""$#,##0"")",Compliance Review,HashiCorp Vault or CyberArk integration and security controls design
Planning,Project Planning,Develop playbook roadmap timeline and resource allocation,EO Engineer,24,='Estimate Settings'!$C$4,=$E41*$F41,$140,"=TEXT($G41*$H41,""$#,##0"")",Automation Platform Design,Deliverable: Project plan with phased automation rollout schedule
Development,Platform Deployment,Deploy Ansible Automation Platform with HA controller cluster,EO Engineer,40,='Estimate Settings'!$C$5,=$E42*$F42,$160,"=TEXT($G42*$H42,""$#,##0"")",Automation Platform Design,Includes controller deployment PostgreSQL setup and execution nodes
