Category,Item,Description,Unit,Qty_Small,Qty_Medium,Qty_Large,Qty_Working,Unit_Cost,Billing_Cycle,Year_1,Year_2,Year_3,Sizing_Notes
Cloud Infrastructure,Amazon S3 Standard Storage,Object storage for document ingestion and archives,GB,1000,5000,20000,1000,0.023,Monthly,276.00,276.00,276.00,Storage scales with document volume and retention requirements
Cloud Infrastructure,Amazon Textract Document Analysis,AI-powered document text and form extraction,Instance,1,1,1,1,750,Monthly,9000.00,9000.00,9000.00,"Small: 50k pages/mo, Medium: 250k pages/mo, Large: 1M pages/mo"
Cloud Infrastructure,Amazon Textract Forms/Tables,Extract structured data from forms and tables,Instance,1,1,1,1,1250,Monthly,15000.00,15000.00,15000.00,"Small: 25k pages/mo, Medium: 150k pages/mo, Large: 500k pages/mo"
Cloud Infrastructure,Amazon Comprehend Entity Recognition,Extract entities organizations people locations from text,Instance,1,1,1,1,2.50,Monthly,30.00,30.00,30.00,"Small: 25k units/mo, Medium: 150k units/mo, Large: 500k units/mo"
Cloud Infrastructure,AWS Lambda (Processing Functions),Serverless compute for document workflow orchestration,Instance,1,1,1,1,8.33,Monthly,99.96,99.96,99.96,"Small: 500k GB-sec/mo, Medium: 2.5M GB-sec/mo, Large: 10M GB-sec/mo"
Cloud Infrastructure,Amazon DynamoDB On-Demand,NoSQL database for document metadata and job tracking,GB-Month,50,250,1000,50,0.25,Monthly,150.00,150.00,150.00,Storage scales with metadata volume
Cloud Infrastructure,Amazon DynamoDB Read/Write Units,Database throughput for metadata operations,Million-Requests,10,50,200,10,1.25,Monthly,150.00,150.00,150.00,"Read/write request units, scales with API traffic"
Cloud Infrastructure,Amazon API Gateway REST API,API endpoints for document submission and retrieval,Million-Requests,5,25,100,5,3.50,Monthly,210.00,210.00,210.00,API call volume based on integration patterns
Cloud Infrastructure,Amazon SQS Standard Queue,Message queuing for asynchronous document processing,Million-Requests,10,50,200,10,0.40,Monthly,48.00,48.00,48.00,Queue requests for workflow coordination
Cloud Infrastructure,Amazon SNS Standard,Notifications for processing completion and errors,Million-Requests,2,10,40,2,0.50,Monthly,12.00,12.00,12.00,Notification volume for status updates
Cloud Infrastructure,Amazon CloudWatch Logs,Centralized logging for monitoring and troubleshooting,GB,50,200,800,50,0.50,Monthly,300.00,300.00,300.00,Log volume increases with processing activity
Cloud Infrastructure,Amazon CloudWatch Metrics,Custom metrics and monitoring dashboards,Metrics,100,500,2000,100,0.30,Monthly,360.00,360.00,360.00,Custom metrics for business and technical KPIs
Cloud Infrastructure,AWS Step Functions Standard,Workflow orchestration for complex document pipelines,Instance,1,1,1,1,2.50,Monthly,30.00,30.00,30.00,"Small: 100k transitions/mo, Medium: 500k transitions/mo, Large: 2M transitions/mo"
Cloud Infrastructure,Amazon ElastiCache Redis,In-memory caching for document metadata and sessions,Node-Hours,1,2,4,1,50,Monthly,600.00,600.00,600.00,"Small: 1 node, Medium: 2 nodes (HA), Large: 4 nodes (cluster)"
Cloud Infrastructure,AWS Secrets Manager,Secure storage for API keys and credentials,Secrets,10,20,40,10,0.40,Monthly,48.00,48.00,48.00,Number of secrets stored (API keys databases credentials)
Cloud Infrastructure,Amazon VPC NAT Gateway,Network address translation for private subnet egress,Instance,1,2,4,1,32.85,Monthly,394.20,394.20,394.20,"Small: 1 AZ, Medium: 2 AZs (HA), Large: 4 AZs (multi-region)"
Cloud Infrastructure,AWS Data Transfer Out,Outbound data transfer to internet and regions,GB,500,2000,8000,500,0.09,Monthly,540.00,540.00,540.00,Data transfer for API responses and document retrieval
