#WIDTH: 45,18,50,50,50,50,8,12,30,14
#ALIGN: left,left,left,left,left,left,center,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level
solution.name,Project,Azure Virtual Desktop,Azure Virtual Desktop,Azure Virtual Desktop,Solution display name,Yes,String,Max 50 characters,Public
solution.abbr,Project,avd,avd,avd,Solution abbreviation for resource naming,Yes,String,Max 10 characters,Public
solution.provider_name,Project,azure,azure,azure,Cloud provider name,Yes,String,aws|azure|gcp,Public
solution.category_name,Project,modern-workspace,modern-workspace,modern-workspace,Solution category,Yes,String,Valid category,Public
azure.subscription_id,Project,[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],Azure subscription identifier,Yes,String,GUID format,Confidential
azure.tenant_id,Project,[TENANT_ID],[TENANT_ID],[TENANT_ID],Azure AD tenant identifier,Yes,String,GUID format,Confidential
azure.region,Project,eastus,eastus,westus2,Primary Azure region,Yes,String,Valid Azure region,Public
azure.dr_region,Project,westus2,westus2,eastus,DR region for failover,Yes,String,Valid Azure region,Public
ownership.cost_center,Project,CC-WS-001,CC-WS-001,CC-WS-001,Cost center for billing,Yes,String,CC format,Public
ownership.owner_email,Project,workspace-team@company.com,dev-team@company.com,workspace-team@company.com,Team email for ownership,Yes,String,Valid email,Public
ownership.project_code,Project,PRJ-AVD-2025,PRJ-AVD-2025,PRJ-AVD-2025,Project tracking code,Yes,String,PRJ format,Public
network.vnet_cidr,Network,10.10.0.0/16,10.11.0.0/16,10.12.0.0/16,Virtual network CIDR block,Yes,String,Valid CIDR,Public
network.subnet_session_hosts,Network,10.10.1.0/24,10.11.1.0/24,10.12.1.0/24,Subnet for session host VMs,Yes,String,Valid CIDR,Public
network.subnet_private_endpoints,Network,10.10.2.0/24,10.11.2.0/24,10.12.2.0/24,Subnet for private endpoints,Yes,String,Valid CIDR,Public
network.enable_private_endpoints,Network,true,false,true,Enable private endpoints for services,Yes,Boolean,true|false,Public
security.enable_customer_managed_key,Security,true,false,true,Use customer-managed key for encryption,Yes,Boolean,true|false,Public
