#WIDTH: 45,14,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
application.enable_debug,Application,false,true,Enable Debug,Yes,Boolean,true|false,Public,Development,,From application object,2025-11-30
application.health_path,Application,/health,/health,Health Path,Yes,String,Valid string value,Public,Development,,From application object,2025-11-30
application.log_level,Application,warn,debug,Log Level,Yes,String,Valid string value,Public,Development,,From application object,2025-11-30
application.metrics_path,Application,/metrics,/metrics,Metrics Path,Yes,String,Valid string value,Public,Development,,From application object,2025-11-30
application.name,Application,sample-solution,sample-solution,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,From application object,2025-11-30
application.port,Application,8080,8080,Cache port number,Yes,Integer,Valid port number (1-65535),Public,Development,,From application object,2025-11-30
application.rate_limit,Application,1000,1000,Rate Limit,Yes,Integer,Valid integer,Public,Development,,From application object,2025-11-30
application.session_timeout,Application,3600,3600,Session Timeout,Yes,Integer,Valid integer,Public,Development,,From application object,2025-11-30
application.version,Application,1.0.0,1.0.0,Version,Yes,String,Valid string value,Public,Development,,From application object,2025-11-30
solution.abbr,Application,smp,smp,Solution abbreviation (3-4 chars),Yes,String,Valid string value,Public,Development,,From solution object,2025-11-30
solution.category_name,Application,sample-category,sample-category,Solution category,Yes,String,Valid string value,Public,Development,,From solution object,2025-11-30
solution.name,Application,sample-solution,sample-solution,Solution name for resource naming,Yes,String,Valid string value,Public,Development,,From solution object,2025-11-30
solution.provider_name,Application,sample-provider,sample-provider,Provider organization name,Yes,String,Valid string value,Public,Development,,From solution object,2025-11-30
backup.backup_tag_key,Best Practices,Backup,Backup,Backup tag key,Yes,String,Valid string value,Public,Operations,,From backup object,2025-11-30
backup.backup_tag_value,Best Practices,true,true,Backup tag value,Yes,String,Valid string value,Public,Operations,,From backup object,2025-11-30
backup.cold_storage_days,Best Practices,90,90,Days before cold storage transition,Yes,Integer,Positive integer (days),Public,Operations,,From backup object,2025-11-30
backup.daily_retention,Best Practices,30,7,Daily backup retention (days),Yes,Integer,Positive integer (days),Public,Operations,,From backup object,2025-11-30
backup.daily_schedule,Best Practices,cron(0 5 * * ? *),cron(0 5 * * ? *),Daily backup schedule (cron),Yes,String,Valid cron expression,Public,Operations,,From backup object,2025-11-30
backup.dr_retention,Best Practices,30,30,DR backup retention (days),Yes,Integer,Positive integer (days),Public,Operations,,From backup object,2025-11-30
backup.enable_continuous,Best Practices,false,false,Enable continuous backup,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enable_cross_region,Best Practices,false,false,Enable cross-region backup copy,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enable_monthly,Best Practices,true,true,Enable Monthly,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enable_s3_backup,Best Practices,false,false,Enable S3 Backup,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enable_tag_selection,Best Practices,true,true,Enable tag-based resource selection,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enable_vault_lock,Best Practices,false,false,Enable vault lock,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enable_vault_policy,Best Practices,true,true,Enable vault policy,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enable_weekly,Best Practices,true,true,Enable Weekly,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enable_windows_vss,Best Practices,false,false,Enable Windows Vss,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.enabled,Best Practices,true,false,Enable this resource,Yes,Boolean,true|false,Public,Operations,,From backup object,2025-11-30
backup.monthly_retention,Best Practices,365,30,Monthly backup retention (days),Yes,Integer,Positive integer (days),Public,Operations,,From backup object,2025-11-30
backup.monthly_schedule,Best Practices,cron(0 5 1 * ? *),cron(0 5 1 * ? *),Monthly backup schedule (cron),Yes,String,Valid cron expression,Public,Operations,,From backup object,2025-11-30
backup.notification_events,Best Practices,"[""BACKUP_JOB_STARTED"", ""BACKUP_JOB_COMPLETED"", ""BACKUP_JOB_FAILED"", ""RESTORE_JOB_STARTED"", ""RESTORE_JOB_COMPLETED"", ""RESTORE_JOB_FAILED""]","[""BACKUP_JOB_STARTED"", ""BACKUP_JOB_COMPLETED"", ""BACKUP_JOB_FAILED"", ""RESTORE_JOB_STARTED"", ""RESTORE_JOB_COMPLETED"", ""RESTORE_JOB_FAILED""]",Backup notification events,Yes,List(String),Valid list of strings,Public,Operations,,From backup object,2025-11-30
backup.resource_arns,Best Practices,[],[],Specific resource ARNs to backup,No,List,Valid AWS ARN,Confidential,Operations,,From backup object,2025-11-30
backup.vault_lock_changeable_days,Best Practices,3,3,Vault Lock Changeable Days,Yes,Integer,Positive integer (days),Public,Operations,,From backup object,2025-11-30
backup.vault_lock_max_retention,Best Practices,365,365,Vault Lock Max Retention,Yes,Integer,Positive integer (days),Public,Operations,,From backup object,2025-11-30
backup.vault_lock_min_retention,Best Practices,7,7,Vault Lock Min Retention,Yes,Integer,Positive integer (days),Public,Operations,,From backup object,2025-11-30
