# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Cluster Size,8-node VxRail P570 all-NVMe cluster,4-node,8-node enterprise,16-node large,Enterprise cluster scale
Solution Scope,Storage Capacity,200TB usable all-NVMe,80TB usable,200TB usable,400TB+ usable,High-performance NVMe storage
Integration,vSphere Stack,vSphere 8 Enterprise Plus with NSX,vSphere only,vSphere + NSX,vSphere NSX vRealize Suite,VMware enterprise stack
Integration,DR Solution,VMware SRM with RecoverPoint for VMs,No DR,SRM replication,Multi-site HA stretched cluster,Disaster recovery complexity
User Base,VM Count,800 VMs including mission-critical databases,250 VMs,800 VMs,1500+ VMs,Enterprise VM scale
User Base,Database Workloads,Oracle RAC SQL Always-On SAP HANA,No databases,Standard databases,Mission-critical Tier 1,Database performance requirements
Data Volume,Storage Type,All-NVMe 30.72TB per node,Hybrid or all-flash SSD,All-NVMe performance,NVMe with RAID-6,Enterprise performance tier
Data Volume,IOPS Requirements,100000+ IOPS cluster aggregate,10K IOPS,100K IOPS,200K+ IOPS,Mission-critical performance SLA
Technical Environment,Current Infrastructure,EMC VMAX or NetApp enterprise SAN,Mid-range SAN,Enterprise SAN,Multi-array legacy,Migration complexity from Tier 1 storage
Technical Environment,Network Fabric,100GbE spine-leaf network,25GbE network,100GbE fabric,Multi-site WAN connectivity,Enterprise network requirements
Technical Environment,vSAN Features,FTT=2 RAID-6 erasure coding,FTT=1 mirroring,FTT=2 RAID-6,Stretched cluster multi-site,Advanced vSAN features
Security & Compliance,Compliance,Mission-critical with SOC 2 ISO 27001,Standard compliance,Enterprise compliance,Regulated (PCI HIPAA FedRAMP),Enterprise compliance requirements
Security & Compliance,Encryption,vSAN and VM encryption with KMS,vSAN encryption,vSAN + VM encryption,FIPS 140-2 compliance,Enterprise security controls
Performance,Latency SLA,<1ms storage latency for databases,<5ms acceptable,<1ms target,Sub-millisecond,Mission-critical performance SLA
Performance,Availability,99.99% uptime with N+2 fault tolerance,99.9% (N+1),99.99% (N+2),99.999% stretched cluster,Enterprise availability SLA
Environment,DR Requirements,RPO <5 min RTO <15 min with SRM,No DR,Standard DR,Mission-critical DR automation,Disaster recovery SLA
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,All Discovery phase tasks (Database Assessment Enterprise SAN Inventory)
Planning,PLANNING_MX,1,All Planning phase tasks (Enterprise VxRail Design NSX Architecture DR Design)
Development,DEVELOPMENT_MX,1,All Development phase tasks (VxRail Deployment Database Migration DR Setup)
Testing,TESTING_MX,1,All Testing phase tasks (Database Performance SLA Validation DR Failover)
Deployment,DEPLOYMENT_MX,1,All Deployment phase tasks (Tier 1 Migration Enterprise Cutover)
Training,TRAINING_MX,1,All Training phase tasks (Enterprise Operations NSX Training)
Closeout,CLOSEOUT_MX,1,All Closeout phase tasks (Enterprise Handover SLA Baseline)
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 10% of actual engineering hours
# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Database Assessment,Assess Oracle RAC SQL Always-On workload requirements,EO Engineer,40,1,=E25*F25,$200,"=TEXT(G25*H25,""$#,##0"")",,Includes database performance profiling
Discovery,Enterprise SAN Inventory,Document VMAX/NetApp infrastructure and costs,EO Engineer,24,='Estimate Settings'!$C$3,=$E26*$F26,$200,"=TEXT($G26*$H26,""$#,##0"")",,Enterprise SAN baseline and TCO analysis
Discovery,DR Requirements,Assess disaster recovery RPO RTO requirements,EO Engineer,24,='Estimate Settings'!$C$3,=$E27*$F27,$200,"=TEXT($G27*$H27,""$#,##0"")",,DR architecture and SRM design requirements
Discovery,Network Assessment,Survey 100GbE network fabric and DR site connectivity,EO Engineer,16,='Estimate Settings'!$C$3,=$E28*$F28,$175,"=TEXT($G28*$H28,""$#,##0"")",,Spine-leaf and WAN bandwidth validation
Planning,Enterprise VxRail Design,Design 8-node VxRail P570 all-NVMe architecture,EO Engineer,48,='Estimate Settings'!$C$4,=$E29*$F29,$200,"=TEXT($G29*$H29,""$#,##0"")",Database Assessment,Deliverable: Enterprise architecture with FTT=2
Planning,vSAN FTT=2 Design,Design RAID-6 erasure coding for enterprise vSAN,EO Engineer,24,='Estimate Settings'!$C$4,=$E30*$F30,$200,"=TEXT($G30*$H30,""$#,##0"")",Enterprise VxRail Design,FTT=2 storage policies and capacity planning
Planning,NSX Architecture,Design NSX Data Center micro-segmentation,EO Engineer,32,='Estimate Settings'!$C$4,=$E31*$F31,$200,"=TEXT($G31*$H31,""$#,##0"")",Enterprise VxRail Design,NSX distributed firewall and zero-trust design
Planning,DR Architecture,Design VMware SRM and RecoverPoint replication,EO Engineer,32,='Estimate Settings'!$C$4,=$E32*$F32,$200,"=TEXT($G32*$H32,""$#,##0"")",DR Requirements,SRM failover orchestration and RPO design
Development,VxRail Procurement,Order VxRail P570 all-NVMe nodes and fabric,EO Engineer,16,='Estimate Settings'!$C$5,=$E33*$F33,$175,"=TEXT($G33*$H33,""$#,##0"")",Enterprise VxRail Design,Coordinate Dell Enterprise sales
Development,VxRail Deployment,Dell ProDeploy Enterprise installation and configuration,EO Engineer,64,='Estimate Settings'!$C$5,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",VxRail Procurement,ProDeploy Enterprise on-site deployment
Development,vSphere Enterprise Setup,Configure vCenter vRealize Operations and logging,EO Engineer,40,='Estimate Settings'!$C$5,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",VxRail Deployment,Enterprise management and monitoring platform
Development,vSAN FTT=2 Setup,Configure FTT=2 RAID-6 and deduplication,EO Engineer,32,='Estimate Settings'!$C$5,=$E36*$F36,$200,"=TEXT($G36*$H36,""$#,##0"")",vSphere Enterprise Setup,Enterprise vSAN with erasure coding
Development,NSX Deployment,Deploy NSX Data Center and distributed firewall,EO Engineer,40,='Estimate Settings'!$C$5,=$E37*$F37,$200,"=TEXT($G37*$H37,""$#,##0"")",vSAN FTT=2 Setup,Micro-segmentation for database tier
Development,RecoverPoint Deployment,Deploy RecoverPoint for VMs and configure replication,EO Engineer,32,='Estimate Settings'!$C$5,=$E38*$F38,$200,"=TEXT($G38*$H38,""$#,##0"")",NSX Deployment,RPO <5 min continuous replication
Development,SRM Configuration,Configure VMware SRM for automated DR failover,EO Engineer,32,='Estimate Settings'!$C$5,=$E39*$F39,$200,"=TEXT($G39*$H39,""$#,##0"")",RecoverPoint Deployment,RTO <15 min automated orchestration
