# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
User Base,User Count,500 licensed users,100 users,500 users,2000+ users,Total Google Workspace licenses
User Base,Workspace Edition,Business Plus,Business Standard,Business Plus,Enterprise Plus,Feature tier and storage capacity
Migration,Email Migration,500 mailboxes (2.5 TB),100 mailboxes,500 mailboxes,2000+ mailboxes,Exchange to Gmail migration volume
Migration,File Migration,File servers to Drive (3 TB),1 TB,3 TB,10+ TB,Document migration complexity
Integration,Identity Integration,SAML SSO with Azure AD,Basic auth,SAML SSO,Federated + directory sync,Authentication complexity
Integration,Distribution Lists,150 groups,50 groups,150 groups,500+ groups,Email group migration count
Security,DLP Policies,Sensitive content detection,Basic DLP,Standard DLP,Advanced DLP + custom,Data loss prevention complexity
Security,Mobile Management,Advanced mobile device management,Basic MDM,Advanced MDM,Enterprise EMM,Mobile security requirements
Compliance,Retention Policy,7-year retention (Vault),3-year retention,7-year retention,Unlimited + legal hold,Data retention requirements
Deployment,Deployment Approach,Phased by department (5 waves),Big bang,Phased rollout,Complex multi-phase,Migration strategy complexity
Training,Training Approach,Virtual + self-service,Self-service only,Virtual training,In-person + virtual,User enablement scope
Technical Environment,Coexistence Period,4 weeks with Exchange,2 weeks,4 weeks,8+ weeks,Parallel operation complexity
Technical Environment,Directory Sync,GCDS for automated provisioning,Manual sync,Automated GCDS,Complex multi-directory,User provisioning automation

# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Migration Assessment, Environment Analysis, Training Needs)"
Planning,PLANNING_MX,1,"All Planning phase tasks (Migration Planning, Stakeholder Alignment)"
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Workspace Configuration, SSO Setup, DLP Policies, Vault Setup, Mobile Management)"
Testing,TESTING_MX,1,"All Testing phase tasks (Pilot Validation, Migration Testing, UAT)"
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Pilot Migration, Email/File Migration, Group Migration, Go-Live Support)"
Training,TRAINING_MX,1,"All Training phase tasks (Admin Training, End-User Training, Documentation)"
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Hypercare Support)"
Management,MANAGEMENT_MX,1,Project Management overhead - 20% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 25% of actual engineering hours

# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Migration Assessment,Exchange and file server inventory and migration planning,EO Engineer,24,='Estimate Settings'!$C$3,=$E19*$F19,$200,"=TEXT($G19*$H19,""$#,##0"")",,Customer must provide Exchange admin access and mailbox inventory
Discovery,Environment Analysis,Analyze distribution lists groups and calendar complexity,EO Engineer,16,='Estimate Settings'!$C$3,=$E20*$F20,$200,"=TEXT($G20*$H20,""$#,##0"")",,Identify migration dependencies and integration requirements
Discovery,Training Needs Assessment,User training requirements and change management planning,EO Engineer,8,='Estimate Settings'!$C$3,=$E21*$F21,$150,"=TEXT($G21*$H21,""$#,##0"")",,Define training approach and communication strategy
Development,Workspace Configuration,Google Workspace tenant setup domain verification and OU structure,EO Engineer,16,='Estimate Settings'!$C$5,=$E22*$F22,$175,"=TEXT($G22*$H22,""$#,##0"")",Migration Assessment,Deliverable: Configured Workspace tenant with organizational units
Development,SSO Integration,SAML SSO setup with Azure AD and directory sync (GCDS) deployment,EO Engineer,24,='Estimate Settings'!$C$5,=$E23*$F23,$200,"=TEXT($G23*$H23,""$#,##0"")",Workspace Configuration,Includes SAML metadata exchange and GCDS configuration testing
Development,DLP Configuration,Data Loss Prevention policy setup for sensitive content,EO Engineer,16,='Estimate Settings'!$C$5,=$E24*$F24,$175,"=TEXT($G24*$H24,""$#,##0"")",Workspace Configuration,Configure DLP rules for PII PHI payment data
Development,Vault Setup,Google Vault configuration for 7-year retention and eDiscovery,EO Engineer,8,='Estimate Settings'!$C$5,=$E25*$F25,$150,"=TEXT($G25*$H25,""$#,##0"")",Workspace Configuration,Setup retention policies and legal hold capabilities
Development,Mobile Management,Advanced mobile device management policy configuration,EO Engineer,8,='Estimate Settings'!$C$5,=$E26*$F26,$150,"=TEXT($G26*$H26,""$#,##0"")",Workspace Configuration,Configure device policies passcode requirements remote wipe
Deployment,Pilot Migration,Pilot migration of 25 IT and early adopter users,EO Engineer,24,='Estimate Settings'!$C$7,=$E27*$F27,$140,"=TEXT($G27*$H27,""$#,##0"")",Vault Setup,Validate migration tools workflows and training materials
Deployment,Email Migration Wave 1-5,Mailbox migration for 475 users in 5 waves (95 users/week),EO Engineer,80,='Estimate Settings'!$C$7,=$E28*$F28,$140,"=TEXT($G28*$H28,""$#,##0"")",Pilot Migration,Exchange to Gmail migration with folder structure preservation
Deployment,File Migration,File server to Google Drive migration (3 TB with permissions),EO Engineer,48,='Estimate Settings'!$C$7,=$E29*$F29,$130,"=TEXT($G29*$H29,""$#,##0"")",Email Migration Wave 1-5,Migrate files with ACL to Drive sharing permission mapping
Deployment,Calendar and Contacts,Calendar and contacts migration for all 500 users,EO Engineer,16,='Estimate Settings'!$C$7,=$E30*$F30,$120,"=TEXT($G30*$H30,""$#,##0"")",Email Migration Wave 1-5,Preserve recurring appointments and contact deduplication
