Category,Item,Unit,Quantity,Unit Cost,Monthly Cost,Annual Cost,Year 1,Credits Applied,Net Cost
Infrastructure,AVD Control Plane,Service,N/A,N/A,$0,$0,$0,$0,$0
Infrastructure,Windows 11 Ent Multi-Session VMs D4s_v5,VMs,20,$120,$2400,$28800,$28800,$0,$28800
Infrastructure,Azure Files Premium 500GB,Storage,1,$800,$800,$9600,$9600,$0,$9600
Licensing,Microsoft 365 E3,User Licenses,100,$20,$2000,$24000,$24000,$0,$24000
Operations,Azure Monitor + Log Analytics,Service,1,$100,$100,$1200,$1200,$0,$1200
Services,Solution Design Consultation,Hours,40,$375,$0,$0,$15000,$0,$15000
Services,Implementation Services,Hours,80,$375,$0,$0,$30000,$0,$30000
Services,Migration & Data Transfer,Hours,53,$375,$0,$0,$20000,$0,$20000
Services,User Training & Documentation,Hours,21,$375,$0,$0,$8000,$0,$8000
Services,Partner Services Credit,Credit,1,($10000),$0,$0,($10000),$10000,$0
Total,,,,,,,$63600,$73000,$10000,$136600
Year 2-3 Recurring,,,,,,,$64000,N/A,N/A,$64000
