Category,Item,Description,Unit,Qty_Small,Qty_Medium,Qty_Large,Qty_Working,Unit_Cost,Billing_Cycle,Year_1,Year_2,Year_3,Sizing_Notes
Cloud Infrastructure,Amazon EC2 Primary Region (Production),t3.large instances for web application tier,Instance,2,4,8,2,75,Monthly,1800.00,1800.00,1800.00,"Small: 2 instances, Medium: 4 instances (HA), Large: 8 instances (multi-AZ)"
Cloud Infrastructure,Amazon EC2 DR Region (Standby),t3.medium instances for warm standby tier,Instance,1,2,4,1,42,Monthly,504.00,504.00,504.00,"Small: Pilot light, Medium: Warm standby, Large: Hot standby"
Cloud Infrastructure,Amazon RDS Primary (Production),db.r5.large Multi-AZ PostgreSQL database,Instance,1,1,2,1,350,Monthly,4200.00,4200.00,4200.00,"Small/Medium: Single Multi-AZ, Large: 2 instances with read replicas"
Cloud Infrastructure,Amazon RDS DR Region (Read Replica),Cross-region read replica for disaster recovery,Instance,1,1,2,1,350,Monthly,4200.00,4200.00,4200.00,DR read replica in secondary region for RTO/RPO requirements
Cloud Infrastructure,Amazon S3 Standard Storage,Application data backups and static assets,GB,500,2000,5000,500,0.023,Monthly,138.00,138.00,138.00,Storage scales with data volume and backup retention
Cloud Infrastructure,Amazon S3 Cross-Region Replication,Automated replication to DR region,GB,500,2000,5000,500,0.0005,Monthly,3.00,3.00,3.00,Data transfer for cross-region replication
Cloud Infrastructure,Amazon Route 53 Health Checks,Endpoint monitoring and failover automation,Checks,5,10,20,5,0.50,Monthly,30.00,30.00,30.00,Health checks for automatic DNS failover
Cloud Infrastructure,Amazon Route 53 Hosted Zones,DNS management for primary and DR regions,Zones,2,2,2,2,0.50,Monthly,12.00,12.00,12.00,Hosted zones for production and DR domains
Cloud Infrastructure,Application Load Balancer Primary,Load balancing for primary region instances,Instance,1,1,2,1,22.50,Monthly,270.00,270.00,270.00,"Small/Medium: Single ALB, Large: 2 ALBs across AZs"
Cloud Infrastructure,Application Load Balancer DR,Load balancing for DR region instances,Instance,1,1,2,1,22.50,Monthly,270.00,270.00,270.00,DR region load balancer for standby instances
Cloud Infrastructure,Amazon EBS Volumes Primary,Block storage for EC2 instances primary region,GB,500,1000,2000,500,0.10,Monthly,600.00,600.00,600.00,General purpose SSD (gp3) volumes
Cloud Infrastructure,Amazon EBS Volumes DR,Block storage for EC2 instances DR region,GB,250,500,1000,250,0.10,Monthly,300.00,300.00,300.00,DR region storage for standby instances
Cloud Infrastructure,Amazon EBS Snapshots,Automated EBS volume snapshots for backup,GB,500,1000,2000,500,0.05,Monthly,300.00,300.00,300.00,Incremental snapshots for point-in-time recovery
Cloud Infrastructure,AWS Backup,Centralized backup management and automation,GB,500,1000,2000,500,0.05,Monthly,300.00,300.00,300.00,Automated backup policies for EC2 RDS and EBS
Cloud Infrastructure,Amazon CloudWatch Logs,Centralized logging for both regions,GB,50,150,300,50,0.50,Monthly,300.00,300.00,300.00,Log aggregation from primary and DR regions
Cloud Infrastructure,Amazon CloudWatch Metrics,Custom metrics and monitoring dashboards,Metrics,100,300,600,100,0.30,Monthly,360.00,360.00,360.00,Monitoring for primary DR and failover health
Cloud Infrastructure,AWS CloudTrail,API activity logging and compliance auditing,Trails,2,2,2,2,2.00,Monthly,48.00,48.00,48.00,Audit trails for both primary and DR regions
Cloud Infrastructure,Amazon VPC Primary,Virtual private cloud for primary region,VPC,1,1,1,1,0,Monthly,0.00,0.00,0.00,No charge for VPC itself
Cloud Infrastructure,Amazon VPC DR,Virtual private cloud for DR region,VPC,1,1,1,1,0,Monthly,0.00,0.00,0.00,No charge for VPC itself
Cloud Infrastructure,VPN Connection Primary to DR,Site-to-site VPN between regions,Connection,1,1,2,1,36,Monthly,432.00,432.00,432.00,"Small/Medium: Single VPN, Large: Redundant VPN connections"
Cloud Infrastructure,NAT Gateway Primary,Outbound internet access from private subnets,Instance,1,2,4,1,32.85,Monthly,394.20,394.20,394.20,"Small: 1 AZ, Medium: 2 AZs (HA), Large: 4 AZs"
Cloud Infrastructure,NAT Gateway DR,Outbound internet access for DR region,Instance,1,1,2,1,32.85,Monthly,394.20,394.20,394.20,DR region NAT gateway for standby environment
Cloud Infrastructure,AWS Systems Manager,Configuration management and patch automation,Free,1,1,1,1,0,Monthly,0.00,0.00,0.00,Parameter Store and Session Manager included
Cloud Infrastructure,AWS Secrets Manager,Secure credential storage for both regions,Secrets,10,20,30,10,0.40,Monthly,48.00,48.00,48.00,Database credentials API keys and certificates
Cloud Infrastructure,Amazon SNS,Notifications for DR events and failover,Topics,5,10,15,5,0.50,Monthly,30.00,30.00,30.00,Alerts for health checks failover and recovery
