Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your GitHub Actions CI/CD project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this DevOps initiative?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What CI/CD challenges are you trying to solve?,"Common challenges: Slow deployments, Manual release processes, CI/CD tool complexity, High infrastructure costs, Lack of deployment automation, Inconsistent pipelines","",Primary business driver for GitHub Actions investment
BUS-004,Business Requirements,Current State,What is your current CI/CD platform?,"Platforms: Jenkins, GitLab CI, CircleCI, Azure DevOps, TeamCity, Travis CI, Bamboo, Manual deployment","",Current CI/CD baseline assessment
BUS-005,Business Requirements,Current State,What are the pain points with your current CI/CD platform?,"Common issues: Maintenance overhead, Cost, Complexity, Slow pipelines, Limited scalability, Poor developer experience","",CI/CD migration drivers
BUS-006,Business Requirements,Deployment Frequency,How often do you deploy to production?,"Deployment frequency: Multiple times per day, Daily, Weekly, Monthly, Quarterly","",Deployment automation requirements
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing GitHub Actions?,"Common goals: Faster deployments, Reduce CI/CD costs, Simplify pipelines, Enable GitOps, Improve developer productivity, Automate testing","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure GitHub Actions success?,"Define KPIs: deployment frequency, pipeline duration, cost reduction %, developer satisfaction, mean time to recovery","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for GitHub Actions implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this CI/CD solution?,"Include GitHub Enterprise licenses, infrastructure, professional services, training","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for CI/CD automation?,"Consider expansion to more applications, advanced deployment strategies, multi-cloud","",Future roadmap and scalability planning
BUS-012,Business Requirements,Team Structure,How many development teams will use GitHub Actions?,"List teams and their primary applications/services","",Team adoption and rollout planning
TECH-001,Technical Requirements,GitHub Environment,What GitHub platform are you using?,"Options: GitHub.com (public/private), GitHub Enterprise Cloud, GitHub Enterprise Server","",Current GitHub deployment model
TECH-002,Technical Requirements,GitHub Environment,How many GitHub organizations and repositories do you have?,"Provide org count, total repos, and repos requiring CI/CD","",Repository scope and pipeline coverage
TECH-003,Technical Requirements,Developer Count,How many active developers/engineers do you have?,"Total developers and those actively committing code","",License count and workflow capacity
TECH-004,Technical Requirements,Application Portfolio,How many applications/services need CI/CD pipelines?,"List applications with deployment frequency and complexity","",Pipeline development scope
TECH-005,Technical Requirements,Technology Stack,What programming languages and frameworks do you use?,"Languages: JavaScript/TypeScript, Python, Java, .NET, Go, Ruby, PHP, Other","",Build and test tooling requirements
TECH-006,Technical Requirements,Application Types,What types of applications do you build?,"Types: Web apps, REST APIs, Mobile apps, Desktop apps, Serverless functions, Microservices, Containers","",Deployment strategy and target platforms
TECH-007,Technical Requirements,Build Complexity,What is the typical build duration for your applications?,"Build times: <5 minutes, 5-15 minutes, 15-30 minutes, 30-60 minutes, 60+ minutes","",Runner sizing and parallelization needs
TECH-008,Technical Requirements,Build Frequency,How many builds do you run daily across all projects?,"Typical ranges: 10-50, 50-100, 100-500, 500-1000, 1000+ builds per day","",Compute capacity and cost estimation
TECH-009,Technical Requirements,Test Automation,What testing do you run in CI/CD pipelines?,"Tests: Unit tests, Integration tests, E2E tests, Performance tests, Security scans, Code quality","",Pipeline duration and compute requirements
TECH-010,Technical Requirements,Artifact Management,What build artifacts do you produce?,"Artifacts: Docker images, npm packages, Maven JARs, NuGet packages, Binaries, Static sites","",GitHub Packages and storage needs
TECH-011,Technical Requirements,Deployment Targets,Where do you deploy your applications?,"Targets: AWS (EC2 ECS EKS Lambda), Azure (VMs AKS Functions), GCP (GCE GKE), Kubernetes, On-premises","",Deployment integration requirements
TECH-012,Technical Requirements,Infrastructure Preference,Do you prefer GitHub-hosted or self-hosted runners?,"GitHub-hosted: Fully managed, Self-hosted: In your VPC, Hybrid: Mix of both","",Runner architecture and cost model
TECH-013,Technical Requirements,Runner Requirements,What runner specifications do you need?,"Self-hosted specs: CPU (vCPU count), Memory (GB), OS (Linux Windows macOS), GPU requirements","",Infrastructure sizing for self-hosted
TECH-014,Technical Requirements,Parallel Execution,How many concurrent builds do you need to support?,"Concurrency: 5 builds, 10 builds, 20 builds, 50+ builds","",Runner pool sizing
TECH-015,Technical Requirements,Workflow Complexity,What workflow features do you need?,"Features: Matrix builds, Reusable workflows, Composite actions, Workflow templates, Environment secrets","",Advanced workflow requirements
TECH-016,Technical Requirements,Branch Strategy,What branching strategy do you follow?,"Strategies: GitHub Flow, Git Flow, Trunk-based development, Release branches","",Pipeline triggers and deployment gates
TECH-017,Technical Requirements,Environment Management,How many deployment environments do you have?,"Environments: Dev, Test, Staging, UAT, Production, DR","",Environment configuration and secrets
TECH-018,Technical Requirements,Secrets Management,How do you manage secrets and credentials?,"Options: GitHub Secrets, HashiCorp Vault, AWS Secrets Manager, Azure Key Vault, Existing system","",Secrets integration requirements
SEC-001,Security & Compliance,Authentication,What cloud authentication method do you prefer?,"Options: OIDC (OpenID Connect - keyless), Service principals, Access keys, IAM roles","",Secure cloud access without static credentials
SEC-002,Security & Compliance,OIDC Integration,Do you need OIDC integration for AWS Azure or GCP?,"OIDC eliminates static credentials and provides federated access","",Keyless authentication requirements
SEC-003,Security & Compliance,Security Scanning,What security scans should run in pipelines?,"Scans: SAST (CodeQL), SCA (Dependabot), Container scanning, IaC scanning (Terraform), Secret detection","",Security automation in CI/CD
SEC-004,Security & Compliance,Compliance Standards,What compliance standards must your CI/CD meet?,"Standards: SOC 2, ISO 27001, HIPAA, PCI-DSS, FedRAMP, GDPR","",Audit and compliance requirements
SEC-005,Security & Compliance,Audit Logging,What audit and logging requirements do you have?,"Requirements: Workflow logs, Deployment audit trail, Access logs, Approval records","",Compliance and audit trail needs
SEC-006,Security & Compliance,Access Control,What access control do you need for deployments?,"Controls: Required reviewers, Environment protection rules, Branch protection, Approval gates","",Deployment governance
SEC-007,Security & Compliance,Network Security,Do you require private networking for runners?,"Options: Public internet, VPC/VNet only, Private endpoints, IP allowlists","",Network security for self-hosted runners
SEC-008,Security & Compliance,Data Residency,Do you have data residency requirements?,"Specify regions or countries for build data and artifacts","",Geographic compliance requirements
OPS-001,Operations & Support,Pipeline Performance,What are your pipeline speed requirements?,"Target: Deploy in <5 minutes, <15 minutes, <30 minutes, <60 minutes","",Performance and optimization goals
OPS-002,Operations & Support,Deployment Gates,What deployment approval process do you need?,"Options: Automatic to dev/test, Manual approval for production, Change advisory board, On-call approval","",Deployment governance workflow
OPS-003,Operations & Support,Rollback Strategy,What is your rollback and disaster recovery strategy?,"Strategies: Blue-green deployment, Canary releases, Feature flags, Database rollback","",Deployment safety mechanisms
OPS-004,Operations & Support,Monitoring,What monitoring and observability do you need?,"Requirements: Workflow metrics, Deployment status, Success/failure rates, Duration trends, Cost tracking","",Operational visibility
OPS-005,Operations & Support,Notifications,What notifications do you need for pipeline events?,"Channels: Email, Slack, Microsoft Teams, PagerDuty, Custom webhooks","",Alert and notification delivery
OPS-006,Operations & Support,Availability,What uptime requirements do you have for CI/CD?,"SLA: 99%, 99.5%, 99.9% for pipeline availability","",High availability needs
OPS-007,Operations & Support,Disaster Recovery,What are your RTO and RPO for CI/CD?,"RTO: Maximum downtime, RPO: Maximum data loss for pipeline configurations","",Business continuity planning
OPS-008,Operations & Support,Support Coverage,What support coverage do you require?,"Options: Business hours (8x5), Extended (24x5), Full (24x7)","",Support staffing requirements
OPS-009,Operations & Support,Runner Management,Who will manage and maintain self-hosted runners?,"Teams: Platform team, DevOps team, Infrastructure team, Managed service","",Operational ownership
OPS-010,Operations & Support,Cost Optimization,What cost optimization strategies do you want?,"Strategies: Caching, Artifact cleanup, Runner auto-scaling, Spot instances, Workflow optimization","",Cost management approach
INT-001,Integration Requirements,Source Control,Are all your repositories in GitHub?,"If no, list other SCM systems: GitLab, Bitbucket, Azure DevOps, Subversion","",Multi-SCM integration needs
INT-002,Integration Requirements,Artifact Repositories,What artifact repositories do you use?,"Repositories: GitHub Packages, Docker Hub, AWS ECR, Azure ACR, GCP GCR, JFrog Artifactory, Nexus","",Artifact storage integration
INT-003,Integration Requirements,Container Registries,What container registries do you use?,"Registries: GitHub Container Registry, Docker Hub, AWS ECR, Azure ACR, Google GCR, Harbor","",Container image push/pull integration
INT-004,Integration Requirements,Cloud Providers,What cloud platforms do you deploy to?,"Platforms: AWS, Azure, GCP, Oracle Cloud, IBM Cloud, On-premises","",Multi-cloud deployment requirements
INT-005,Integration Requirements,Kubernetes,Do you deploy to Kubernetes?,"Options: AWS EKS, Azure AKS, Google GKE, Self-managed, OpenShift, Rancher","",K8s deployment integration
INT-006,Integration Requirements,Issue Tracking,What issue/project tracking system do you use?,"Systems: GitHub Issues/Projects, JIRA, Azure Boards, ServiceNow, Linear","",Work item integration
INT-007,Integration Requirements,Communication Tools,What collaboration tools do you use?,"Tools: Slack, Microsoft Teams, Discord, Email, Custom webhooks","",Notification integration
INT-008,Integration Requirements,Quality Tools,What code quality and testing tools do you use?,"Tools: SonarQube, Coveralls, Codecov, JUnit, Selenium, Cypress, Postman","",Quality gate integration
INT-009,Integration Requirements,APM Monitoring,What APM and monitoring tools do you use?,"Tools: Datadog, New Relic, Dynatrace, Splunk, Azure Monitor, CloudWatch","",Deployment and runtime monitoring
INT-010,Integration Requirements,IaC Tools,What Infrastructure as Code tools do you use?,"Tools: Terraform, CloudFormation, ARM templates, Ansible, Pulumi, CDK","",Infrastructure automation
IMPL-001,Implementation Planning,Current CI/CD,What CI/CD platform are you migrating from?,"Platforms: Jenkins, GitLab CI, CircleCI, Azure Pipelines, Travis CI, Bamboo","",Migration source and complexity
IMPL-002,Implementation Planning,Pipeline Count,How many CI/CD pipelines need migration?,"Total pipelines and breakdown by complexity (simple, medium, complex)","",Migration scope and effort
