# Sizing Guidelines
#WIDTH: 24,36,28,28,28,51
#ALIGN: left,left,center,center,center,left
Category,Component,Small (8 nodes),Medium (12 nodes),Large (16 nodes),Notes
Cluster Size,VxRail P570 Nodes,8 nodes,12 nodes,16 nodes,All-NVMe for mission-critical workloads
Total vCPUs,Xeon Platinum Processors,512 vCPUs,768 vCPUs,1024 vCPUs,64 cores per node (2x 32-core CPUs)
Total RAM,DDR4 Memory,12TB (1.5TB per node),18TB (1.5TB per node),24TB (1.5TB per node),Enterprise memory capacity for databases
vSAN Storage,All-NVMe Capacity (raw),245TB raw / 122TB usable,368TB raw / 184TB usable,490TB raw / 245TB usable,FTT=2 RAID-6 erasure coding for enterprise
VM Capacity,Estimated VM Count,500 VMs,750 VMs,1000 VMs,Based on 4vCPU 24GB average enterprise VM
Performance,Storage IOPS,100000+ IOPS,150000+ IOPS,200000+ IOPS,All-NVMe for Tier 1 database workloads
Network Fabric,25GbE Connectivity,8-node fabric,12-node fabric,16-node fabric,Redundant spine-leaf for vSAN and vMotion
Support Tier,Dell Mission Critical,2-hour response 24x7,2-hour response 24x7,2-hour response 24x7,Enterprise-grade support with TAM

# Infrastructure Costs
#WIDTH: 23,30,50,12,16,12,15,12,12,15,30
#ALIGN: left,left,left,right,left,right,left,right,right,right,left
Category,Component,Description,Quantity,Unit,Unit Price,Annual Cost,Year 2,Year 3,3-Year Total,Notes
Hardware,VxRail P570 Node,2U all-NVMe server 2x Xeon Platinum 8368 1.5TB RAM 30.72TB NVMe,8,Nodes,$75000,$600000,$0,$0,$600000,Enterprise-grade HCI appliance
Hardware,VxRail Manager Appliance,Lifecycle management virtual appliance for automated updates,1,License,$0,$0,$0,$0,$0,Included with VxRail purchase
Hardware,Rack Rails & Cable Arms,Rack mounting hardware for VxRail P570 nodes,8,Kits,$350,$2800,$0,$0,$2800,Physical installation accessories
Hardware,Dell PowerSwitch Z9332F-ON,32-port 100GbE spine switch with OS10 for high-performance fabric,4,Switches,$65000,$260000,$0,$0,$260000,Redundant spine-leaf architecture
Hardware,Dell PowerSwitch S5248F-ON,48-port 25GbE leaf ToR switch for server connectivity,4,Switches,$12000,$48000,$0,$0,$48000,Leaf switches for distributed fabric
Hardware,100GbE QSFP28 Transceivers,Fiber optic transceivers for spine-leaf interconnects,64,Transceivers,$850,$54400,$0,$0,$54400,High-speed fabric connectivity
Hardware,25GbE SFP28 Transceivers,Fiber optic transceivers for node-to-leaf connectivity,64,Transceivers,$400,$25600,$0,$0,$25600,Server uplinks (8 per node × 8 nodes)
Hardware,OM4 Fiber Cables,Multimode fiber patch cables for 25/100GbE connections,128,Cables,$45,$5760,$0,$0,$5760,Data center cabling infrastructure
Software Licenses,VMware vSphere Enterprise Plus,Hypervisor per-CPU licensing for advanced DRS and HA features,16,CPU Licenses,$5750,$92000,$0,$0,$92000,2 CPUs per node × 8 nodes
Software Licenses,VMware vSAN Enterprise,Software-defined storage per-CPU with dedup compression encryption,16,CPU Licenses,$3750,$60000,$0,$0,$60000,vSAN advanced features for enterprise
Software Licenses,VMware vCenter Server Standard,Centralized management for vSphere cluster,1,Instance,$6000,$6000,$0,$0,$6000,One-time perpetual license
Software Licenses,VMware NSX Data Center Enterprise Plus,Network virtualization and micro-segmentation per-CPU,16,CPU Licenses,$4995,$79920,$0,$0,$79920,Zero-trust security and distributed firewall
Software Licenses,VMware vRealize Suite Enterprise,Operations monitoring capacity planning and automation,16,CPU Licenses,$4150,$66400,$66400,$66400,$199200,Annual subscription per CPU
Software Licenses,Dell RecoverPoint for VMs,Multi-site replication and disaster recovery orchestration,8,Nodes,$10000,$80000,$80000,$80000,$240000,Annual subscription for DR solution
Software Licenses,Veeam Backup & Replication Enterprise Plus,Enterprise VM backup with instant recovery,500,VM Licenses,$75,$37500,$37500,$37500,$112500,Annual subscription per VM
Support & Maintenance,Dell Mission Critical Services,2-hour response 24x7 with dedicated TAM and escalation,8,Nodes,$12000,$96000,$96000,$96000,$288000,Highest-tier enterprise support
Support & Maintenance,Network Equipment Support,ProSupport Plus for PowerSwitch spine and leaf switches,8,Switches,$1800,$14400,$14400,$14400,$43200,Switch hardware support contracts

# Credits
#WIDTH: 25,25,15,50
#ALIGN: left,left,right,left
Category,Credit Type,Credit Amount,Credit Comments
Hardware,Legacy Enterprise SAN Decommission,"($250000)",3-year maintenance savings from retiring EMC VMAX or NetApp enterprise SAN
Operational Savings,Power and Cooling Reduction,"($65000)",Annual savings from 60% reduction in power vs legacy SAN and server infrastructure
Operational Savings,Data Center Footprint Reduction,"($36000)",Annual savings from consolidating 8 racks to 2 racks (rack rental and cross-connects)
Operational Savings,Administrative Labor Savings,"($120000)",Annual savings from reduced storage admin burden (LUN management automation)

# 3-Year Summary
#WIDTH: 25,15,15,15,12,12,15
#ALIGN: left,right,right,right,right,right,right
Category,Year 1 List,Year 1 Credits,Year 1 Net,Year 2,Year 3,3-Year Total
Hardware,$1,390,320,$0,$1,390,320,$0,$0,$1,390,320
Software Licenses,$421,820,$0,$421,820,$183,900,$183,900,$789,620
Support & Maintenance,$110,400,$0,$110,400,$110,400,$110,400,$331,200
TOTAL,$2081540,$0,$2081540,$294300,$294300,$2670140
Legacy Cost Avoidance,$0,($471000),($471000),($471000),($471000),($1413000)
Net Investment After Savings,$2081540,($471000),$1610540,($176700),($176700),$1257140

