#WIDTH: 45,14,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,Cloud Migration,Cloud Migration,Cloud Migration,Full solution name for tagging,Yes,String,Max 50 characters,Public,Project Team,None,On-Premise to Cloud Migration,2025-12-03
solution.abbr,Project,cmig,cmig,cmig,Solution abbreviation for resource naming,Yes,String,Max 10 characters,Public,Project Team,None,Used in all resource names,2025-12-03
solution.provider_name,Project,aws,aws,aws,Cloud provider name,Yes,String,aws|azure|gcp,Public,Project Team,None,EO Framework provider,2025-12-03
solution.category_name,Project,cloud,cloud,cloud,Solution category,Yes,String,Valid category,Public,Project Team,None,EO Framework category,2025-12-03
aws.region,Project,us-east-1,us-east-1,us-west-2,AWS region for deployment,Yes,String,Valid AWS region,Public,Infrastructure,None,Primary region per SOW,2025-12-03
aws.dr_region,Project,us-west-2,us-west-2,us-east-1,DR region for cross-region resources,Yes,String,Valid AWS region,Public,Infrastructure,None,Secondary region,2025-12-03
aws.profile,Project,,,,AWS CLI profile (optional),No,String,Valid profile name,Confidential,Infrastructure,None,Leave empty for default credentials,2025-12-03
ownership.cost_center,Project,CC-MIG-001,CC-MIG-001,CC-MIG-001,Cost center for billing,Yes,String,Valid cost center,Confidential,Finance,None,Migration project code,2025-12-03
ownership.owner_email,Project,migration-team@company.com,migration-team@company.com,migration-team@company.com,Technical owner email,Yes,String,Valid email,Public,Project Team,None,Alert notifications,2025-12-03
ownership.project_code,Project,PRJ-CMIG-2025,PRJ-CMIG-2025,PRJ-CMIG-2025,Project code for tracking,Yes,String,Valid project code,Public,Project Team,None,Financial tracking,2025-12-03
network.vpc_cidr,Networking,10.0.0.0/16,10.100.0.0/16,10.1.0.0/16,VPC CIDR block,Yes,String,Valid CIDR,Public,Network Team,IP planning,Non-overlapping with on-premise,2025-12-03
network.enable_nat_gateway,Networking,true,true,true,Enable NAT Gateway for private subnets,Yes,Boolean,true|false,Public,Network Team,Cost,Required for outbound internet,2025-12-03
network.enable_flow_logs,Networking,true,false,true,Enable VPC Flow Logs,Yes,Boolean,true|false,Public,Network Team,CloudWatch,Security monitoring,2025-12-03
network.public_subnet_cidrs,Networking,"[""10.0.1.0/24"",""10.0.2.0/24"",""10.0.3.0/24""]","[""10.100.1.0/24"",""10.100.2.0/24""]","[""10.1.1.0/24"",""10.1.2.0/24""]",Public subnet CIDRs,Yes,List(String),Valid CIDRs,Public,Network Team,vpc_cidr,3 AZs for prod,2025-12-03
network.private_subnet_cidrs,Networking,"[""10.0.10.0/24"",""10.0.11.0/24"",""10.0.12.0/24""]","[""10.100.10.0/24"",""10.100.11.0/24""]","[""10.1.10.0/24"",""10.1.11.0/24""]",Private subnet CIDRs,Yes,List(String),Valid CIDRs,Public,Network Team,vpc_cidr,Application tier,2025-12-03
network.database_subnet_cidrs,Networking,"[""10.0.20.0/24"",""10.0.21.0/24"",""10.0.22.0/24""]","[""10.100.20.0/24"",""10.100.21.0/24""]","[""10.1.20.0/24"",""10.1.21.0/24""]",Database subnet CIDRs,Yes,List(String),Valid CIDRs,Public,Network Team,vpc_cidr,RDS deployment,2025-12-03
network.transit_gateway_enabled,Networking,true,false,true,Enable Transit Gateway,Yes,Boolean,true|false,Public,Network Team,Direct Connect,Multi-VPC connectivity,2025-12-03
network.enable_direct_connect,Networking,true,false,false,Enable Direct Connect,Yes,Boolean,true|false,Public,Network Team,Hybrid,1Gbps dedicated connection,2025-12-03
network.direct_connect_bandwidth,Networking,1Gbps,,,Direct Connect bandwidth,No,String,Valid bandwidth,Public,Network Team,Direct Connect,Per SOW specification,2025-12-03
network.on_prem_cidr,Networking,192.168.0.0/16,192.168.0.0/16,,On-premises CIDR block,No,String,Valid CIDR,Public,Network Team,Hybrid,VPN routing,2025-12-03
network.enable_site_to_site_vpn,Networking,true,true,true,Enable Site-to-Site VPN (backup),Yes,Boolean,true|false,Public,Network Team,Hybrid,Backup connectivity,2025-12-03
compute.instance_type,Compute,m5.large,t3.medium,m5.large,Default EC2 instance type,Yes,String,Valid EC2 type,Public,Infrastructure,Workload,Right-sized from on-premise,2025-12-03
compute.ami_id,Compute,,,,Custom AMI ID (empty uses latest AL2023),No,String,Valid AMI ID,Public,Infrastructure,None,Leave empty for default,2025-12-03
compute.asg_min_size,Compute,2,1,0,Minimum ASG capacity,Yes,Integer,0-10,Public,Infrastructure,HA,Zero for pilot light DR,2025-12-03
compute.asg_max_size,Compute,20,10,20,Maximum ASG capacity,Yes,Integer,2-100,Public,Infrastructure,Cost,30-60 instances per SOW,2025-12-03
compute.asg_desired_capacity,Compute,4,2,1,Desired ASG capacity,Yes,Integer,0-50,Public,Infrastructure,Performance,Baseline capacity,2025-12-03
compute.root_volume_size,Compute,50,30,50,Root EBS volume size in GB,Yes,Integer,20-500,Public,Infrastructure,Storage,OS and application,2025-12-03
compute.data_volume_size,Compute,100,50,100,Data EBS volume size in GB,Yes,Integer,0-1000,Public,Infrastructure,Storage,Application data,2025-12-03
compute.app_port,Compute,443,80,443,Application port,Yes,Integer,1-65535,Public,Development,Application,HTTPS for prod,2025-12-03
compute.health_check_path,Compute,/health,/health,/health,Health check endpoint,Yes,String,Valid path,Public,Development,Application,Must return 200,2025-12-03
compute.ssl_certificate_arn,Compute,arn:aws:acm:us-east-1:ACCOUNT:certificate/CERT-ID,,,ACM certificate ARN for HTTPS,No,String,Valid ARN,Confidential,Security Team,ACM,HTTPS termination,2025-12-03
compute.enable_deletion_protection,Compute,true,false,true,Enable ALB deletion protection,Yes,Boolean,true|false,Public,Infrastructure,Safety,Prevent accidental deletion,2025-12-03
database.engine,Database,mysql,mysql,mysql,Database engine type,Yes,String,mysql|postgresql|sqlserver,Public,Database Team,Application,Per application requirements,2025-12-03
database.engine_version,Database,8.0.35,8.0.35,8.0.35,RDS engine version,Yes,String,Valid version,Public,Database Team,Compatibility,LTS version,2025-12-03
database.database_name,Database,appdb,appdb,appdb,Database name,Yes,String,Valid DB name,Public,Database Team,Application,Application database,2025-12-03
database.master_username,Database,admin,admin,admin,Master database username,Yes,String,Valid username,Confidential,Database Team,Security,Admin access,2025-12-03
database.master_password,Database,CHANGE_ME_PROD,CHANGE_ME_TEST,CHANGE_ME_DR,Master database password,Yes,String,Strong password,Confidential,Database Team,Security,Use AWS Secrets Manager,2025-12-03
database.instance_class,Database,db.m5.large,db.t3.medium,db.m5.large,RDS instance class,Yes,String,Valid DB class,Public,Database Team,Performance,Right-sized for workload,2025-12-03
database.multi_az,Database,true,false,true,Enable Multi-AZ deployment,Yes,Boolean,true|false,Public,Database Team,HA,Production HA,2025-12-03
database.allocated_storage,Database,100,50,100,Storage in GB,Yes,Integer,20-65536,Public,Database Team,Storage,Initial allocation,2025-12-03
database.max_allocated_storage,Database,500,100,500,Max storage for auto-scaling,Yes,Integer,20-65536,Public,Database Team,Storage,Storage auto-scaling cap,2025-12-03
database.backup_retention_days,Database,7,1,7,Backup retention in days,Yes,Integer,1-35,Public,Database Team,Compliance,Per SOW DR requirements,2025-12-03
database.backup_window,Database,03:00-04:00,03:00-04:00,03:00-04:00,Preferred backup window (UTC),Yes,String,Valid time window,Public,Database Team,Maintenance,Non-peak hours,2025-12-03
database.maintenance_window,Database,sun:04:00-sun:05:00,sun:04:00-sun:05:00,sun:04:00-sun:05:00,Preferred maintenance window (UTC),Yes,String,Valid time window,Public,Database Team,Maintenance,Non-peak hours,2025-12-03
database.enable_deletion_protection,Database,true,false,true,Enable DB deletion protection,Yes,Boolean,true|false,Public,Database Team,Safety,Prevent accidental deletion,2025-12-03
database.skip_final_snapshot,Database,false,true,false,Skip final snapshot on delete,Yes,Boolean,true|false,Public,Database Team,Recovery,Test can skip,2025-12-03
database.enable_performance_insights,Database,true,false,true,Enable Performance Insights,Yes,Boolean,true|false,Public,Database Team,Observability,Query analysis,2025-12-03
database.enable_read_replica,Database,true,false,false,Create read replica,Yes,Boolean,true|false,Public,Database Team,Performance,Read scaling,2025-12-03
storage.enable_versioning,Storage,true,true,true,Enable S3 versioning,Yes,Boolean,true|false,Public,Storage Team,DR,Required for replication,2025-12-03
storage.transition_to_ia_days,Storage,30,90,30,Days before IA transition,Yes,Integer,30-365,Public,Storage Team,Cost,Cost optimization,2025-12-03
storage.transition_to_glacier_days,Storage,90,180,90,Days before Glacier transition,Yes,Integer,90-730,Public,Storage Team,Cost,Archive tier,2025-12-03
storage.noncurrent_version_expiration_days,Storage,30,7,30,Days to keep old versions,Yes,Integer,1-365,Public,Storage Team,Cost,Version cleanup,2025-12-03
storage.enable_replication,Storage,true,false,false,Enable cross-region replication,Yes,Boolean,true|false,Public,Storage Team,DR,S3 CRR,2025-12-03
storage.replication_latency_threshold,Storage,900,0,900,Replication latency alarm threshold (seconds),Yes,Integer,0-3600,Public,Storage Team,Monitoring,15 min default,2025-12-03
security.kms_deletion_window_days,Security,30,7,30,KMS key deletion window,Yes,Integer,7-30,Public,Security Team,Safety,Recovery period,2025-12-03
security.enable_kms_key_rotation,Security,true,true,true,Enable KMS key rotation,Yes,Boolean,true|false,Public,Security Team,Compliance,Annual rotation,2025-12-03
security.enable_waf,Security,true,false,false,Enable WAF for ALB,Yes,Boolean,true|false,Public,Security Team,Security,Application firewall,2025-12-03
