Provider,Category,SolutionName,Description,Version,DownloadUrl,ManifestUrl,Website,SupportEmail,Status
Cisco,AI,AI-Powered Network Insights,AI-driven network insights for optimized performance,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/cisco/ai/network-analytics/latest/network-analytics.zip,https://github.com/eoframework/solutions/raw/main/solutions/cisco/ai/network-analytics/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Cisco,Cloud,HyperFlex Cloud Bridge,Seamless hybrid cloud infrastructure integration,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/cisco/cloud/hybrid-infrastructure/latest/hybrid-infrastructure.zip,https://github.com/eoframework/solutions/raw/main/solutions/cisco/cloud/hybrid-infrastructure/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Cisco,Network,SD-WAN Enterprise,Enterprise SD-WAN for optimized branch connectivity,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/cisco/network/sd-wan-enterprise/latest/sd-wan-enterprise.zip,https://github.com/eoframework/solutions/raw/main/solutions/cisco/network/sd-wan-enterprise/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Cisco,DevOps,Network Infrastructure Pipeline,Network-aware CI/CD for infrastructure automation,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/cisco/devops/ci-cd-automation/latest/ci-cd-automation.zip,https://github.com/eoframework/solutions/raw/main/solutions/cisco/devops/ci-cd-automation/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
Cisco,Cyber Security,Zero Trust Network Gateway,Zero-trust network access for enhanced security,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/cisco/cyber-security/secure-access/latest/secure-access.zip,https://github.com/eoframework/solutions/raw/main/solutions/cisco/cyber-security/secure-access/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
HashiCorp,Cloud,Multi Cloud Platform,Multi-cloud infrastructure management & automation,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/hashicorp/cloud/multi-cloud-platform/latest/multi-cloud-platform.zip,https://github.com/eoframework/solutions/raw/main/solutions/hashicorp/cloud/multi-cloud-platform/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
HashiCorp,DevOps,Terraform Enterprise,Enterprise infrastructure as code platform,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/hashicorp/devops/terraform-enterprise/latest/terraform-enterprise.zip,https://github.com/eoframework/solutions/raw/main/solutions/hashicorp/devops/terraform-enterprise/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
AWS,AI,Intelligent Document Processing,Automate document insights with AI-driven extraction,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/aws/ai/intelligent-document-processing/latest/intelligent-document-processing.zip,https://github.com/eoframework/solutions/raw/main/solutions/aws/ai/intelligent-document-processing/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
AWS,Cloud,Onpremise To Cloud Migration,Seamless enterprise migration to modern cloud platform,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/aws/cloud/onpremise-to-cloud-migration/latest/onpremise-to-cloud-migration.zip,https://github.com/eoframework/solutions/raw/main/solutions/aws/cloud/onpremise-to-cloud-migration/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
AWS,Cloud,Disaster Recovery Web Application,Rapid business continuity with automated failover,1.0.0,https://github.com/eoframework/solutions/raw/main/solutions/aws/cloud/disaster-recovery-web-application/latest/disaster-recovery-web-application.zip,https://github.com/eoframework/solutions/raw/main/solutions/aws/cloud/disaster-recovery-web-application/manifest.json,https://eoframework.com/solutions,support@eoframework.com,In Review
