#WIDTH: 45,18,50,50,50,50,8,12,30,14
#ALIGN: left,left,left,left,left,left,center,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level
solution.name,Project,Azure Virtual WAN Global,Azure Virtual WAN Global,Azure Virtual WAN Global,Solution display name for tagging,Yes,String,Max 50 characters,Public
solution.abbr,Project,vwan-global,vwan-global,vwan-global,Solution abbreviation for resource naming,Yes,String,Max 15 characters,Public
solution.provider_name,Project,azure,azure,azure,Cloud provider name,Yes,String,aws|azure|gcp,Public
solution.category_name,Project,network,network,network,Solution category,Yes,String,Valid category,Public
azure.subscription_id,Project,[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],Azure subscription identifier,Yes,String,GUID format,Confidential
azure.tenant_id,Project,[TENANT_ID],[TENANT_ID],[TENANT_ID],Azure AD tenant identifier,Yes,String,GUID format,Confidential
azure.region,Project,eastus,eastus,westus2,Primary Azure region for deployment,Yes,String,Valid Azure region,Public
azure.secondary_region,Project,westus2,westus2,eastus,Secondary region for multi-region deployment,Yes,String,Valid Azure region,Public
ownership.cost_center,Project,CC-NET-001,CC-NET-001,CC-NET-001,Cost center for billing,Yes,String,CC format,Public
ownership.owner_email,Project,network-team@company.com,dev-team@company.com,network-team@company.com,Team email for ownership,Yes,String,Valid email,Public
ownership.project_code,Project,PRJ-VWAN-2025,PRJ-VWAN-2025,PRJ-VWAN-2025,Project tracking code,Yes,String,PRJ format,Public
vwan.type,VWAN,Standard,Standard,Standard,Virtual WAN type (Basic or Standard),Yes,String,Basic|Standard,Public
vwan.allow_branch_to_branch,VWAN,true,true,true,Allow branch to branch traffic,Yes,Boolean,true|false,Public
vwan.office365_breakout,VWAN,Optimize,None,Optimize,Office365 local breakout category,Yes,String,None|Optimize|OptimizeAndAllow|All,Public
vwan.hub_sku,VWAN,Standard,Standard,Standard,Virtual Hub SKU,Yes,String,Basic|Standard,Public
vwan.hub_routing_preference,VWAN,ExpressRoute,ExpressRoute,ExpressRoute,Hub routing preference,Yes,String,ExpressRoute|VpnGateway|ASPath,Public
vwan.enable_secondary_hub,VWAN,true,false,true,Enable secondary hub for multi-region,Yes,Boolean,true|false,Public
vwan.primary_hub_prefix,VWAN,10.0.0.0/23,10.10.0.0/23,10.2.0.0/23,Address prefix for primary hub,Yes,String,Valid CIDR,Public
vwan.secondary_hub_prefix,VWAN,10.1.0.0/23,,10.3.0.0/23,Address prefix for secondary hub,No,String,Valid CIDR,Public
vwan.create_custom_route_tables,VWAN,false,false,false,Create custom route tables for hubs,Yes,Boolean,true|false,Public
connectivity.enable_vpn_gateway,Connectivity,true,true,true,Enable VPN Gateway in hubs,Yes,Boolean,true|false,Public
connectivity.vpn_gateway_scale_unit,Connectivity,2,1,1,VPN Gateway scale units (defines throughput),Yes,Integer,1-100,Public
connectivity.vpn_routing_preference,Connectivity,Microsoft Network,Microsoft Network,Microsoft Network,VPN Gateway routing preference,Yes,String,Microsoft Network|Internet,Public
connectivity.vpn_bgp_asn,Connectivity,65515,65515,65515,BGP ASN for VPN Gateway,Yes,Integer,Valid ASN,Public
connectivity.vpn_bgp_peer_weight,Connectivity,0,0,0,BGP peer weight,Yes,Integer,0-100,Public
connectivity.enable_expressroute_gateway,Connectivity,true,false,true,Enable ExpressRoute Gateway in hubs,Yes,Boolean,true|false,Public
connectivity.er_gateway_scale_units,Connectivity,2,1,1,ExpressRoute Gateway scale units,Yes,Integer,1-10,Public
connectivity.er_allow_non_vwan_traffic,Connectivity,false,false,false,Allow non-VWAN traffic through ER Gateway,Yes,Boolean,true|false,Public
security.enable_firewall,Security,true,false,true,Enable Azure Firewall in hubs,Yes,Boolean,true|false,Public
security.firewall_sku_tier,Security,Standard,Standard,Standard,Azure Firewall SKU tier,Yes,String,Standard|Premium|Basic,Public
security.firewall_public_ip_count,Security,2,1,1,Number of public IPs for firewall,Yes,Integer,1-100,Public
security.create_firewall_policy,Security,true,false,true,Create firewall policy,Yes,Boolean,true|false,Public
security.share_firewall_policy,Security,true,false,true,Share policy between primary and secondary,Yes,Boolean,true|false,Public
security.dns_proxy_enabled,Security,true,false,true,Enable DNS proxy in firewall,Yes,Boolean,true|false,Public
security.threat_intelligence_mode,Security,Alert,Off,Alert,Threat intelligence mode,Yes,String,Alert|Deny|Off,Public
security.intrusion_detection_mode,Security,Alert,Off,Alert,Intrusion detection mode (Premium SKU),Yes,String,Alert|Deny|Off,Public
monitoring.log_analytics_sku,Monitoring,PerGB2018,PerGB2018,PerGB2018,Log Analytics Workspace SKU,Yes,String,Free|PerNode|PerGB2018,Public
monitoring.log_retention_days,Monitoring,90,30,90,Log retention in days,Yes,Integer,30-730,Public
monitoring.enable_alerts,Monitoring,true,false,true,Enable monitoring alerts,Yes,Boolean,true|false,Public
monitoring.alert_email,Monitoring,ops-team@company.com,dev-team@company.com,ops-team@company.com,Email address for alerts,Yes,String,Valid email,Confidential
monitoring.enable_network_watcher,Monitoring,true,false,true,Enable Network Watcher,Yes,Boolean,true|false,Public
