Training_ID,Course_Name,Target_Audience,Learning_Objectives,Duration_Hours,Delivery_Method,Prerequisites,Trainer,Schedule,Max_Participants,Materials_Required,Assessment_Method,Certification,Priority
TRN-001,Azure DevOps Fundamentals,All Team Members,"Understand Azure DevOps services, navigation, basic concepts",4,Virtual Classroom,Basic Azure knowledge,Azure Trainer,Week 1,30,"Azure DevOps access, presentation slides",Quiz + Practical Exercise,Azure DevOps Fundamentals Certificate,Critical
TRN-002,Git Version Control Best Practices,Developers,"Master Git workflows, branching strategies, collaboration",6,Virtual Classroom,Basic Git knowledge,DevOps Lead,Week 1,20,"Git client, sample repository",Hands-on Exercise,Git Proficiency Certificate,Critical
TRN-003,YAML Pipeline Development,EO Engineers,"Create and maintain YAML-based CI/CD pipelines",8,Hands-on Workshop,Azure DevOps Fundamentals,Senior EO Engineer,Week 2,15,"Azure DevOps access, code editor",Pipeline Creation Project,Pipeline Development Certificate,Critical
TRN-004,Infrastructure as Code with Terraform,Infrastructure Team,"Develop and manage infrastructure using Terraform",12,Hands-on Workshop,Basic scripting knowledge,Infrastructure Architect,Week 2,12,"Terraform installed, Azure access",Infrastructure Deployment Project,Terraform Associate Certification,High
TRN-005,Container Technologies and Kubernetes,Platform Team,"Understand containerization, Kubernetes orchestration",16,Multi-day Workshop,Basic Linux knowledge,Container Specialist,Week 3,10,"Docker installed, Kubernetes access",Container Deployment Project,Kubernetes Certification,High
TRN-006,Security Integration in DevOps,Security Team,"Implement DevSecOps practices, security scanning",6,Virtual Classroom,Security fundamentals,Security Architect,Week 2,15,"Security tools access, sample code",Security Assessment Project,DevSecOps Certificate,High
TRN-007,Azure Monitor and Application Insights,Operations Team,"Configure monitoring, create dashboards, set up alerts",8,Hands-on Workshop,Azure fundamentals,Monitoring Specialist,Week 3,15,"Azure access, sample applications",Monitoring Configuration Project,Azure Monitoring Certificate,High
TRN-008,Agile and DevOps Culture,All Team Members,"Understand cultural aspects, collaboration, continuous improvement",4,Interactive Workshop,None,Agile Coach,Week 1,40,"Workshop materials, collaboration tools",Group Discussion + Reflection,Cultural Transformation Certificate,Medium
TRN-009,Test Automation in CI/CD,QA Team,"Integrate automated testing into pipelines",10,Hands-on Workshop,Basic testing knowledge,QA Automation Lead,Week 4,12,"Testing tools, sample applications",Test Automation Project,Test Automation Certificate,High
TRN-010,Azure DevOps Administration,Administrators,"Manage users, permissions, organizations, billing",6,Virtual Classroom,Azure DevOps Fundamentals,Platform Admin,Week 2,10,"Admin access, administration guides",Administrative Tasks Project,Azure DevOps Admin Certificate,High
