Category,Item,Description,Unit,Qty_Small,Qty_Medium,Qty_Large,Qty_Working,Unit_Cost,Billing_Cycle,Year_1,Year_2,Year_3,Sizing_Notes
Cloud Infrastructure,Amazon EC2 (Application Tier),t3.xlarge instances for migrated applications,Instance,2,6,12,2,135,Monthly,3240.00,3240.00,3240.00,"Small: 2 instances, Medium: 6 instances (HA), Large: 12 instances (multi-region)"
Cloud Infrastructure,Amazon RDS Multi-AZ,db.r5.xlarge PostgreSQL managed database,Instance,1,2,4,1,540,Monthly,6480.00,6480.00,6480.00,"Small/Medium: 1-2 instances, Large: 4 instances with read replicas"
Cloud Infrastructure,Amazon S3 Standard Storage,Object storage for application data and backups,GB,2000,10000,50000,2000,0.023,Monthly,552.00,552.00,552.00,Storage scales with data volume and retention requirements
Cloud Infrastructure,Amazon EBS General Purpose SSD,Block storage for EC2 instances,GB,1000,3000,10000,1000,0.10,Monthly,1200.00,1200.00,1200.00,Persistent storage for migrated applications
Cloud Infrastructure,Application Load Balancer,Load balancing and SSL termination,Instance,1,2,4,1,22.50,Monthly,270.00,270.00,270.00,"Small: 1 ALB, Medium/Large: Multiple ALBs across AZs"
Cloud Infrastructure,Amazon CloudFront,CDN for static content delivery,GB,500,2000,8000,500,0.085,Monthly,510.00,510.00,510.00,Data transfer for web content and API responses
Cloud Infrastructure,Amazon VPC,Virtual private cloud with multiple subnets,VPC,1,1,2,1,0,Monthly,0.00,0.00,0.00,No charge for VPC itself
Cloud Infrastructure,NAT Gateway,Outbound internet access from private subnets,Instance,1,2,4,1,32.85,Monthly,394.20,394.20,394.20,"Small: 1 AZ, Medium: 2 AZs (HA), Large: 4 AZs"
Cloud Infrastructure,Amazon Route 53,DNS management and health checks,Zones,2,3,5,2,0.50,Monthly,12.00,12.00,12.00,Hosted zones for migrated applications
Cloud Infrastructure,AWS Direct Connect (Optional),Dedicated network connection to on-premises,Connection,0,1,1,0,300,Monthly,0.00,0.00,0.00,"Small: VPN only, Medium/Large: Direct Connect for large migrations"
Cloud Infrastructure,AWS Site-to-Site VPN,Secure VPN connection for hybrid connectivity,Connection,1,2,4,1,36,Monthly,432.00,432.00,432.00,VPN tunnels for migration and hybrid operations
Cloud Infrastructure,Amazon ElastiCache Redis,In-memory caching for migrated applications,Node,1,2,4,1,65,Monthly,780.00,780.00,780.00,"Small: 1 node, Medium: 2 nodes (HA), Large: 4 node cluster"
Cloud Infrastructure,Amazon CloudWatch Logs,Centralized logging and monitoring,GB,100,300,1000,100,0.50,Monthly,600.00,600.00,600.00,Log aggregation from migrated applications
Cloud Infrastructure,Amazon CloudWatch Metrics,Custom metrics and dashboards,Metrics,200,500,1500,200,0.30,Monthly,720.00,720.00,720.00,Application and infrastructure monitoring
Cloud Infrastructure,AWS Systems Manager,Configuration management and patch automation,Free,1,1,1,1,0,Monthly,0.00,0.00,0.00,Parameter Store and Session Manager included
