#WIDTH: 45,14,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,gcp-landing-zone,gcp-landing-zone,gcp-landing-zone,Solution name for resource naming,Yes,String,Valid string value,Public,Infrastructure,,From solution object,2025-12-03
solution.abbr,Project,glz,glz,glz,Solution abbreviation (3-4 chars),Yes,String,3-4 alphanumeric chars,Public,Infrastructure,,From solution object,2025-12-03
solution.provider_name,Project,google,google,google,Provider organization name,Yes,String,Valid string value,Public,Infrastructure,,From solution object,2025-12-03
solution.category_name,Project,cloud,cloud,cloud,Solution category,Yes,String,Valid string value,Public,Infrastructure,,From solution object,2025-12-03
gcp.project_id,Project,[PROJECT_ID],[PROJECT_ID],[PROJECT_ID],GCP project ID for deployment,Yes,String,Valid GCP project ID,Confidential,Infrastructure,,Target project,2025-12-03
gcp.region,Project,us-central1,us-central1,us-east1,Primary GCP region,Yes,String,Valid GCP region,Public,Infrastructure,,Primary deployment region,2025-12-03
gcp.dr_region,Project,us-east1,us-east1,us-west1,DR GCP region,Yes,String,Valid GCP region,Public,Infrastructure,,DR deployment region,2025-12-03
gcp.zone,Project,us-central1-a,us-central1-a,us-east1-a,Primary GCP zone,Yes,String,Valid GCP zone,Public,Infrastructure,,Primary deployment zone,2025-12-03
ownership.cost_center,Project,CC-12345,CC-12345,CC-12345,Cost center for billing,Yes,String,Valid string value,Public,Finance,,From ownership object,2025-12-03
ownership.owner_email,Project,platform-team@example.com,platform-team@example.com,platform-team@example.com,Owner email for notifications,Yes,String,Valid email address,Confidential,Infrastructure,,From ownership object,2025-12-03
ownership.project_code,Project,PRJ-GLZ-001,PRJ-GLZ-001,PRJ-GLZ-001,Project tracking code,Yes,String,Valid string value,Public,Infrastructure,,From ownership object,2025-12-03
organization.org_id,Organization,[ORG_ID],[ORG_ID],[ORG_ID],GCP Organization resource identifier,Yes,String,12-digit numeric ID,Confidential,Infrastructure,,Required for all deployments,2025-12-03
organization.domain,Organization,example.com,example.com,example.com,Primary domain for Cloud Identity,Yes,String,Valid domain name,Public,Infrastructure,,Domain verified in GCP,2025-12-03
organization.billing_account_id,Organization,[BILLING_ACCOUNT_ID],[BILLING_ACCOUNT_ID],[BILLING_ACCOUNT_ID],Billing account for all projects,Yes,String,Format 01XXXX-XXXXXX-XXXXXX,Confidential,Finance,,Must have billing admin access,2025-12-03
organization.display_name,Organization,Example Organization,Example Organization Test,Example Organization DR,Organization display name,Yes,String,Valid string value,Public,Infrastructure,,Human readable name,2025-12-03
folders.dev_display_name,Folders,Development,Development,Development,Development environment folder name,Yes,String,Valid folder name,Public,Infrastructure,,Environment separation,2025-12-03
folders.staging_display_name,Folders,Staging,Staging,Staging,Staging environment folder name,Yes,String,Valid folder name,Public,Infrastructure,,Environment separation,2025-12-03
folders.prod_display_name,Folders,Production,Production,Production,Production environment folder name,Yes,String,Valid folder name,Public,Infrastructure,,Environment separation,2025-12-03
folders.shared_display_name,Folders,Shared Services,Shared Services,Shared Services,Shared services folder name,Yes,String,Valid folder name,Public,Infrastructure,,Hosts shared infrastructure,2025-12-03
folders.sandbox_display_name,Folders,Sandbox,Sandbox,Sandbox,Sandbox environment folder name,Yes,String,Valid folder name,Public,Infrastructure,,Developer sandboxes,2025-12-03
projects.host_project_name,Projects,host-vpc-prod,host-vpc-test,host-vpc-dr,Shared VPC host project name,Yes,String,Valid project name format,Public,Network,,Must be unique in organization,2025-12-03
projects.logging_project_name,Projects,logging-prod,logging-test,logging-dr,Centralized logging project name,Yes,String,Valid project name format,Public,Operations,,Log aggregation project,2025-12-03
projects.security_project_name,Projects,security-prod,security-test,security-dr,Security services project name,Yes,String,Valid project name format,Public,Security,,Security Command Center,2025-12-03
projects.monitoring_project_name,Projects,monitoring-prod,monitoring-test,monitoring-dr,Cloud Monitoring project name,Yes,String,Valid project name format,Public,Operations,,Centralized monitoring,2025-12-03
projects.initial_count,Projects,10,5,5,Initial projects to provision,Yes,Integer,1 to 100,Public,Development,,SOW scope,2025-12-03
projects.team_count,Projects,5,3,3,Number of application teams,Yes,Integer,1 to 50,Public,Development,,SOW scope,2025-12-03
network.vpc_name,Network,shared-vpc-prod,shared-vpc-test,shared-vpc-dr,Shared VPC network name,Yes,String,Alphanumeric with hyphens,Public,Network,,Primary network for all workloads,2025-12-03
network.vpc_routing_mode,Network,GLOBAL,GLOBAL,GLOBAL,VPC routing mode,Yes,String,GLOBAL or REGIONAL,Public,Network,,Global enables cross-region routing,2025-12-03
network.subnet_dev_cidr,Network,10.0.1.0/24,10.0.1.0/24,10.1.1.0/24,Development subnet CIDR,Yes,String,Valid CIDR notation,Confidential,Network,,Development workloads,2025-12-03
network.subnet_staging_cidr,Network,10.0.2.0/24,10.0.2.0/24,10.1.2.0/24,Staging subnet CIDR,Yes,String,Valid CIDR notation,Confidential,Network,,Staging workloads,2025-12-03
network.subnet_prod_cidr,Network,10.0.3.0/24,10.0.3.0/24,10.1.3.0/24,Production subnet CIDR,Yes,String,Valid CIDR notation,Confidential,Network,,Production workloads,2025-12-03
network.subnet_shared_cidr,Network,10.0.10.0/24,10.0.10.0/24,10.1.10.0/24,Shared services subnet CIDR,Yes,String,Valid CIDR notation,Confidential,Network,,Shared infrastructure services,2025-12-03
network.enable_private_google_access,Network,true,true,true,Enable Private Google Access,Yes,Boolean,true|false,Public,Network,,API access without internet,2025-12-03
