# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Number of Developers,50 developers with CI/CD access,10-25 developers,50 developers,100+ developers,Development team size and build volume
Solution Scope,Build Agents,8 Dell PowerEdge R650 build servers,3 build agents,8 build agents,16+ build agents,Build farm capacity and parallelism
Integration,CI/CD Platform,GitLab Premium self-hosted,GitLab Community,GitLab Premium,GitLab Ultimate,Feature requirements and licensing
Integration,Artifact Repository,JFrog Artifactory Pro,No artifact mgmt,Artifactory Pro,Artifactory Enterprise,Artifact management and storage
User Base,Build Volume,5000 builds per day,500-2000 builds/day,5000 builds/day,10000+ builds/day,Daily build execution volume
User Base,Pipeline Complexity,Multi-stage pipelines with tests,Simple build only,Build test deploy,Advanced (canary blue-green),Pipeline orchestration complexity
Data Volume,Artifact Storage,20TB artifact capacity,5TB artifacts,20TB artifacts,50TB+ artifacts,Artifact repository storage requirements
Data Volume,Build Artifacts,Maven npm Docker images,Single format,Multi-format,All formats + binary,Artifact type diversity and management
Technical Environment,Build Agent OS,Ubuntu 22.04 LTS with Docker,Linux only,Linux + Windows,Linux Windows macOS,OS diversity and licensing
Technical Environment,Current CI/CD,GitHub Actions cloud runners,Jenkins on-prem,GitHub Actions,CircleCI cloud,Migration complexity and platform
Technical Environment,Container Platform,Docker Enterprise with registry,No containers,Docker,Kubernetes + registry,Container build requirements
Security & Compliance,Code Sensitivity,Proprietary source code,Public repos,Private repos,Confidential regulated,Data classification and controls
Security & Compliance,Authentication,SSO with SAML integration,Local accounts only,LDAP or SAML SSO,MFA required,Authentication and access control
Performance,Build Queue Time,<5 minute average queue time,<15 min acceptable,<5 min target,<2 min required,Developer productivity and SLA
Performance,Build Duration,15 minute average build time,5-10 min builds,15 min builds,30+ min builds,Compute capacity requirements
Environment,Deployment Strategy,Phased migration by team,Pilot only,Phased rollout,Full parallel run,Migration risk and complexity
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,All Discovery phase tasks (Build Analysis Cloud Cost Pipeline Inventory)
Planning,PLANNING_MX,1,All Planning phase tasks (Platform Design Build Agent Sizing Artifact Architecture)
Development,DEVELOPMENT_MX,1,All Development phase tasks (PowerEdge Deployment GitLab Setup Pipeline Migration)
Testing,TESTING_MX,1,All Testing phase tasks (Performance Testing Build Queue Validation)
Deployment,DEPLOYMENT_MX,1,All Deployment phase tasks (Team Rollout Cloud Decommission)
Training,TRAINING_MX,1,All Training phase tasks (Developer Training DevOps Training)
Closeout,CLOSEOUT_MX,1,All Closeout phase tasks (Knowledge Transfer Pipeline Templates)
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Quarterback/Technical Leadership overhead - 10% of actual engineering hours
# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Build Volume Analysis,Analyze build frequency duration and resource consumption,EO Engineer,32,1,=E25*F25,$150,"=TEXT(G25*H25,""$#,##0"")",,Includes build agent sizing and capacity planning
Discovery,Cloud Cost Analysis,Calculate cloud CI/CD spend and ROI baseline,EO Engineer,24,='Estimate Settings'!$C$3,=$E26*$F26,$175,"=TEXT($G26*$H26,""$#,##0"")",,Customer must provide cloud invoices and usage data
Discovery,Pipeline Inventory,Inventory CI/CD pipelines and integration points,EO Engineer,32,='Estimate Settings'!$C$3,=$E27*$F27,$150,"=TEXT($G27*$H27,""$#,##0"")",,Identifies pipeline migration scope and complexity
Discovery,Infrastructure Assessment,Survey data center resources and network connectivity,EO Engineer,16,='Estimate Settings'!$C$3,=$E28*$F28,$150,"=TEXT($G28*$H28,""$#,##0"")",,Validates rack space power and network for build farm
Planning,CI/CD Platform Design,Design GitLab architecture and HA configuration,EO Engineer,40,='Estimate Settings'!$C$4,=$E29*$F29,$200,"=TEXT($G29*$H29,""$#,##0"")",Build Volume Analysis,Deliverable: GitLab architecture with runner configuration
Planning,Build Agent Sizing,Size PowerEdge build agents for concurrent builds,EO Engineer,24,='Estimate Settings'!$C$4,=$E30*$F30,$175,"=TEXT($G30*$H30,""$#,##0"")",Build Volume Analysis,Deliverable: Server specs CPU RAM disk for build capacity
Planning,Artifact Repository Design,Design Artifactory architecture and storage,EO Engineer,24,='Estimate Settings'!$C$4,=$E31*$F31,$175,"=TEXT($G31*$H31,""$#,##0"")",Pipeline Inventory,Artifact storage capacity and retention policy design
Planning,Pipeline Migration Plan,Develop pipeline conversion and rollout strategy,EO Engineer,32,='Estimate Settings'!$C$4,=$E32*$F32,$175,"=TEXT($G32*$H32,""$#,##0"")",Pipeline Inventory,Deliverable: Migration timeline and pilot project selection
Development,PowerEdge Procurement,Order Dell PowerEdge R650 build agent servers,EO Engineer,16,='Estimate Settings'!$C$5,=$E33*$F33,$160,"=TEXT($G33*$H33,""$#,##0"")",Build Agent Sizing,Coordinate Dell sales and track delivery schedule
Development,Build Agent Deployment,Install PowerEdge servers and configure RHEL,EO Engineer,40,='Estimate Settings'!$C$5,=$E34*$F34,$160,"=TEXT($G34*$H34,""$#,##0"")",PowerEdge Procurement,Rack installation OS setup and network configuration
Development,Storage Deployment,Deploy Dell Unity XT storage for artifacts,EO Engineer,32,='Estimate Settings'!$C$5,=$E35*$F35,$170,"=TEXT($G35*$H35,""$#,##0"")",Artifact Repository Design,Unity configuration with NFS shares for artifacts
Development,GitLab Installation,Install and configure GitLab Premium self-hosted,EO Engineer,40,='Estimate Settings'!$C$5,=$E36*$F36,$175,"=TEXT($G36*$H36,""$#,##0"")",Build Agent Deployment,GitLab server setup SSO configuration runner registration
Development,Artifactory Deployment,Deploy JFrog Artifactory Pro for artifact management,EO Engineer,32,='Estimate Settings'!$C$5,=$E37*$F37,$175,"=TEXT($G37*$H37,""$#,##0"")",Storage Deployment,Artifactory installation repository setup proxy configuration
Development,Docker Configuration,Configure Docker Enterprise and container registry,EO Engineer,24,='Estimate Settings'!$C$5,=$E38*$F38,$160,"=TEXT($G38*$H38,""$#,##0"")",Build Agent Deployment,Docker daemon registry authentication image caching
