# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Primary Features/Capabilities,SD-WAN for 25 branch offices,SD-WAN for 25 sites,SD-WAN for 50 sites,SD-WAN for 100+ sites,Branch office count and scope,,,,
Solution Scope,Customization Level,Standard SD-WAN deployment,Standard policies,Custom application policies and QoS,Extensive custom routing and security,Configuration vs customization,,,,
Integration,External System Integrations,2 systems (cloud + monitoring),2 systems,4 systems (cloud monitoring ITSM IPAM),6+ systems including orchestration,Cloud and management integration,,,,
Integration,Data Sources,WAN telemetry only,WAN telemetry,WAN + application + security data,WAN + app + security + external feeds,Performance and security data,,,,
User Base,Total Users,5 network engineers,5 engineers,10 network team members,20+ distributed WAN team,vManage and SD-WAN operators,,,,
User Base,User Roles,2 roles (admin + operator),2 roles,4 roles with regional delegation,6+ roles with complex RBAC,Role-based access control,,,,
Data Volume,Data Processing Volume,25 sites WAN traffic,25 sites,50 sites WAN traffic,100+ sites WAN traffic,SD-WAN overlay traffic volume,,,,
Data Volume,Data Storage Requirements,200 GB (90-day logs),200 GB,500 GB (1-year logs),2+ TB (multi-year logs),vManage telemetry and logs,,,,
Technical Environment,Deployment Regions,Single region,Single region,2 regions,Multi-region global deployment,Geographic distribution,,,,
Technical Environment,Availability Requirements,Standard (99.5%),Standard (99.5%),High availability (99.9%),Mission critical (99.95%+),WAN uptime SLA,,,,
Technical Environment,Infrastructure Complexity,Basic hub-spoke WAN,Basic hub-spoke,Regional hubs with mesh,Complex multi-tier WAN architecture,WAN topology complexity,,,,
Security & Compliance,Security Requirements,Basic VPN encryption,Basic encryption,Integrated firewall + IPS,Advanced security + SASE integration,WAN security architecture,,,,
Security & Compliance,Compliance Frameworks,Basic logging,Basic logging,PCI DSS or SOC 2,Multiple regulatory frameworks,Compliance automation requirements,,,,
Performance,Performance Requirements,Standard application routing,Standard routing,Application-aware routing + SLA,Advanced TE and performance optimization,Traffic engineering sophistication,,,,
Environment,Deployment Environments,Production only,Production only,Lab + production,Lab + staging + production,Testing and validation environments,,,,
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (WAN Assessment, Circuit Analysis, Requirements Gathering)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (Architecture Design, Policy Design, Migration Planning)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Controller Deployment, Router Configuration, Policy Setup)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Lab Testing, Pilot Validation, Performance Testing)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Site Deployment, MPLS Cutover, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Team Training, Documentation, Knowledge Transfer)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Operational Handoff, Performance Baseline, MPLS Decommission)",,,,,,,
Management,MANAGEMENT_MX,0.25,"Project management and technical leadership (25% of total engineering effort)",,,,,,,
# LEVEL OF EFFORT
#WIDTH: 14,30,40,18,10,12,18,14,12,40
#ALIGN: left,left,left,left,right,right,left,left,left,left
Phase,Work Package,Task Description,Resource Type,Estimated Hours,Rate,Cost Estimate,Dependencies,Risk Level,Notes
Discovery,WAN Assessment,Assess current MPLS WAN architecture and costs,"=ROUND($C$23*40,0)",40,225,"=TEXT(E17*F17,""$#,##0"")",,Medium,MPLS circuits bandwidth and costs,,
Discovery,Circuit Availability Analysis,Analyze broadband and LTE availability at sites,"=ROUND($C$23*32,0)",32,200,"=TEXT(E18*F18,""$#,##0"")",,High,Circuit procurement feasibility,,
Discovery,Application Inventory,Identify critical applications and SLA requirements,"=ROUND($C$23*32,0)",32,200,"=TEXT(E19*F19,""$#,##0"")",,Medium,Office 365 SAP VoIP performance needs,,
Discovery,Traffic Analysis,Analyze WAN traffic patterns and bandwidth usage,"=ROUND($C$23*24,0)",24,175,"=TEXT(E20*F20,""$#,##0"")",,Medium,NetFlow analysis and capacity planning,,
Planning,SD-WAN Architecture,Design SD-WAN architecture for 25 sites,"=ROUND($C$24*60,0)",60,225,"=TEXT(E21*F21,""$#,##0"")",Assessment,Medium,vManage vSmart vBond controller design,,
Planning,Routing Policy Design,Design application-aware routing and SLA policies,"=ROUND($C$24*48,0)",48,225,"=TEXT(E22*F22,""$#,##0"")",Application Inventory,High,SaaS optimization and QoS policies,,
Planning,Security Architecture,Design SD-WAN security and firewall policies,"=ROUND($C$24*32,0)",32,225,"=TEXT(E23*F23,""$#,##0"")",Architecture,Medium,VPN encryption and firewall rules,,
Planning,Migration Strategy,Plan MPLS to SD-WAN migration approach,"=ROUND($C$24*40,0)",40,200,"=TEXT(E24*F24,""$#,##0"")",Routing Design,High,Pilot sites and phased rollout,,
Development,Controller Deployment,Deploy vManage vSmart vBond controllers,"=ROUND($C$25*40,0)",40,225,"=TEXT(E25*F25,""$#,##0"")",Architecture,Medium,Virtual controllers in data center,,
Development,Hub Router Configuration,Configure 2 hub routers at data centers,"=ROUND($C$25*40,0)",40,200,"=TEXT(E26*F26,""$#,##0"")",Controllers,Medium,ISR 4451 dual-hub configuration,,
Development,Routing Policy Configuration,Configure application routing and SLA policies,"=ROUND($C$25*60,0)",60,200,"=TEXT(E27*F27,""$#,##0"")",Policy Design,High,Office 365 SaaS ERP VoIP policies,,
Development,Security Policy Configuration,Configure firewall and security policies,"=ROUND($C$25*40,0)",40,200,"=TEXT(E28*F28,""$#,##0"")",Routing Policies,Medium,Zone-based firewall and IPS,,
Development,Cloud Integration,Configure cloud on-ramps for AWS/Azure (optional),"=ROUND($C$25*30,0)",30,225,"=TEXT(E29*F29,""$#,##0"")",Security Policies,Low,Direct cloud connectivity setup,,
Development,Branch Router Preconfiguration,Preconfigure 25 ISR branch routers for ZTP,"=ROUND($C$25*50,0)",50,200,"=TEXT(E30*F30,""$#,##0"")",Policy Config,Medium,Zero-touch provisioning templates,,
Testing,Lab Validation,Test SD-WAN policies in lab environment,"=ROUND($C$26*32,0)",32,200,"=TEXT(E31*F31,""$#,##0"")",Config Complete,Medium,GNS3 or CML testing,,
Testing,Pilot Site Deployment,Deploy 3 pilot sites for validation,"=ROUND($C$26*60,0)",60,200,"=TEXT(E32*F32,""$#,##0"")",Lab Testing,High,Low-risk site validation,,
Testing,Performance Testing,Test application performance and SLA compliance,"=ROUND($C$26*40,0)",40,200,"=TEXT(E33*F33,""$#,##0"")",Pilot Deploy,High,Office 365 VoIP and ERP testing,,
Testing,Failover Testing,Test WAN circuit failover scenarios,"=ROUND($C$26*24,0)",24,175,"=TEXT(E34*F34,""$#,##0"")",Performance Tests,Medium,Broadband to LTE failover,,
