# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
Solution Scope,Document Types,3 document types (invoices receipts forms),2-3 document types,4-6 document types,8+ document types or complex variations,Standard document types for IDP,,,,,
Solution Scope,AI/ML Complexity,Azure Document Intelligence pre-built,Azure Document Intelligence only,Custom classification models,Advanced custom models + NLP,Pre-built vs custom model development,,,,,
Integration,External System Integrations,2 REST APIs (CRM ERP),2 REST APIs,4-6 systems,8+ systems or complex protocols,Standard REST/API integrations for document flow,,,,,
Integration,Data Sources,Blob Storage and SharePoint,2-3 data sources,4-6 data sources,8+ data sources or complex formats,Document input channels and storage,,,,,
User Base,Total Users,75 users,50 users,100-250 users,500+ users,Users submitting and reviewing documents,,,,,
User Base,User Roles,3 roles (submitter reviewer admin),2-3 standard roles,4-6 roles,8+ roles with complex permissions,Document processors reviewers administrators,,,,,
Data Volume,Document Processing Volume,2000 docs/month,1000-5000 docs/month,10000-50000 docs/month,100000+ docs/month,Monthly document processing volume,,,,,
Data Volume,Data Storage Requirements,250 GB,500 GB,2 TB,10+ TB,Document storage and retention,,,,,
Technical Environment,Deployment Regions,Single Azure region (East US),Single Azure region,2-3 regions,Global multi-region,Geographic distribution for IDP,,,,,
Technical Environment,Availability Requirements,Standard (99.5%),Standard (99.5%),High availability (99.9%),Mission critical (99.95%+),SLA for document processing,,,,,
Technical Environment,Infrastructure Complexity,Serverless (Functions Blob Doc Intel),Basic serverless,Multi-tier standard,Complex distributed with custom ML,Azure Functions Blob Storage Document Intelligence architecture,,,,,
Security & Compliance,Security Requirements,RBAC encryption at rest/transit,Basic encryption RBAC,Industry standard (SOC2 HIPAA),Advanced (FedRAMP multi-jurisdiction),Document security and access controls,,,,,
Security & Compliance,Compliance Frameworks,SOC2,1-2 basic standards,2-3 industry standards,Multiple complex frameworks,Regulatory compliance for documents,,,,,
Performance,Accuracy Requirements,95%+ extraction accuracy,95%+ standard,98%+ enhanced,99%+ with human review,Data extraction accuracy targets,,,,,
Performance,Processing Speed,Batch processing,Standard batch processing,Near real-time processing,Real-time with sub-second response,Document processing speed requirements,,,,,
Environment,Deployment Environments,2 environments (dev prod),2 environments (dev prod),3 environments (dev staging prod),4+ environments with ML pipelines,Environment management for IDP,,,,,
,,,,,,,,,,
# ESTIMATE SETTINGS - EO Sales Engineer Updates Multipliers Based on Customer Scope,,,,,,,,,,
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Requirements Gathering, Document Analysis, Azure Assessment, Compliance Review)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (IDP Solution Design, Data Flow Design, Security Architecture, Project Planning)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Azure Infrastructure, Document Pipeline, AI/ML Integration, Custom Models, API Development)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Unit Testing, Document Testing, Performance Testing, Accuracy Testing, Security Testing)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Deployment, Model Deployment, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, Business User Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)",,,,,,,
Management,MANAGEMENT_MX,1.5,Project Management overhead - 10% of actual engineering hours,,,,,,,
Leadership,LEADERSHIP_MX,1.5,Quarterback/Technical Leadership overhead - 10% of actual engineering hours,,,,,,,
,,,,,,,,,,
# Level of Effort,
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Requirements Gathering,Conduct stakeholder interviews for IDP requirements,EO Engineer,32,='Estimate Settings'!$C$24,=$E33*$F33,$150,"=TEXT($G33*$H33,""$#,##0"")",,Includes requirements documentation and document processing workflow analysis
Discovery,Document Analysis,Analyze document types volumes and data extraction requirements,EO Engineer,24,='Estimate Settings'!$C$24,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",,Customer must provide representative document samples for each document type
Discovery,Azure Environment Assessment,Evaluate Azure infrastructure and AI/ML services readiness,EO Engineer,24,='Estimate Settings'!$C$24,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",,Customer must provide Azure subscription access and service limits information
Discovery,Compliance Review,Assess data privacy compliance and security requirements,EO Engineer,16,='Estimate Settings'!$C$24,=$E36*$F36,$175,"=TEXT($G36*$H36,""$#,##0"")",,Identifies PII/PHI handling requirements and document retention policies
Planning,IDP Solution Design,Design Azure AI/ML architecture with Document Intelligence and Cognitive Services,EO Engineer,40,='Estimate Settings'!$C$25,=$E37*$F37,$200,"=TEXT($G37*$H37,""$#,##0"")",Requirements Gathering,Deliverable: Azure architecture diagram with AI/ML service integration design
Planning,Data Flow Design,Design document ingestion processing and output workflows,EO Engineer,24,='Estimate Settings'!$C$25,=$E38*$F38,$180,"=TEXT($G38*$H38,""$#,##0"")",Document Analysis,Deliverable: Document processing workflow and data flow diagrams
Planning,Security Architecture,Design security controls encryption and access for documents,EO Engineer,24,='Estimate Settings'!$C$25,=$E39*$F39,$175,"=TEXT($G39*$H39,""$#,##0"")",Compliance Review,Document encryption at rest/transit RBAC roles and audit logging design
Planning,Project Planning,Develop implementation timeline and resource allocation,EO Engineer,24,='Estimate Settings'!$C$25,=$E40*$F40,$140,"=TEXT($G40*$H40,""$#,##0"")",IDP Solution Design,Deliverable: Project plan with phased rollout and milestone schedule
Development,Azure Infrastructure Setup,Provision Document Intelligence Cognitive Services Blob Storage and Functions,EO Engineer,40,='Estimate Settings'!$C$26,=$E41*$F41,$160,"=TEXT($G41*$H41,""$#,##0"")",IDP Solution Design,Includes Blob Storage containers Functions Logic Apps and Monitor setup
