# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
Solution Scope,Cluster Size,6-node cluster (3 control + 3 workers),6-node cluster,12-node cluster,24+ node cluster,OpenShift cluster sizing for workloads,,,,,
Solution Scope,Container Capacity,500-1000 containers,500-1000 containers,2000-5000 containers,10000+ containers,Pod and container density,,,,,
Integration,CI/CD Integrations,OpenShift Pipelines + GitOps,Tekton + ArgoCD,Jenkins + external tools,Complex multi-tool pipelines,Pipeline and deployment automation,,,,,
Integration,External Systems,LDAP/AD + monitoring,2-3 systems,4-6 systems,8+ systems or complex protocols,Authentication monitoring storage integrations,,,,,
User Base,Developer Count,50 developers,50 developers,100-200 developers,500+ developers,Platform users and application teams,,,,,
User Base,User Roles,5 roles,3-5 standard roles,6-8 roles,10+ roles with complex RBAC,Developer admin viewer auditor operator,,,,,
Data Volume,Application Count,10 initial applications,5-10 apps,20-50 apps,100+ applications,Applications to containerize and migrate,,,,,
Data Volume,Persistent Storage,20 TB,20 TB,50 TB,200+ TB,Persistent volume storage requirements,,,,,
Technical Environment,Deployment Platform,VMware vSphere,VMware or bare metal,Multi-cloud (VMware + AWS),Complex multi-cloud hybrid,Infrastructure platform for OpenShift,,,,,
Technical Environment,Availability Requirements,Multi-AZ HA,Multi-AZ,Multi-region,Global with DR,High availability configuration,,,,,
Technical Environment,Infrastructure Complexity,Standard 6-node cluster,Standard cluster,Advanced with service mesh,Complex distributed platform,OpenShift platform complexity,,,,,
Security & Compliance,Security Requirements,RBAC + pod security policies,Basic RBAC,Industry standard (SOC2),Advanced (FedRAMP multi-framework),Container and platform security,,,,,
Security & Compliance,Compliance Frameworks,SOC2 ISO 27001,1-2 basic standards,2-3 industry standards,Multiple complex frameworks,Compliance and governance requirements,,,,,
Performance,Service Mesh,Istio for microservices,Optional Istio,Full service mesh,Advanced traffic management,Service mesh complexity,,,,,
Performance,Monitoring Stack,Prometheus + Grafana,Basic monitoring,Standard observability,Advanced with custom integrations,Platform observability and metrics,,,,,
Environment,Deployment Environments,3 environments (dev staging prod),2 environments,3 environments,4+ environments with multi-cluster,Environment management for platform,,,,,
# ESTIMATE SETTINGS,,,,,,,,,,
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Requirements Gathering, Infrastructure Assessment, Application Assessment, Compliance Review)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (OpenShift Design, Network Design, Storage Design, Security Design, Project Planning)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Cluster Deployment, Storage Configuration, CI/CD Setup, Application Migration)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Unit Testing, Integration Testing, Performance Testing, Security Testing, UAT)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Deployment, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Developer Training, Administrator Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)",,,,,,,
Management,MANAGEMENT_MX,1.5,Project Management overhead - 10% of actual engineering hours,,,,,,,
Leadership,LEADERSHIP_MX,1.5,Quarterback/Technical Leadership overhead - 10% of actual engineering hours,,,,,,,
# Level of Effort,
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Requirements Gathering,Conduct stakeholder interviews for OpenShift requirements,EO Engineer,40,='Estimate Settings'!$C$3,=$E33*$F33,$150,"=TEXT($G33*$H33,""$#,##0"")",,Includes platform requirements and application portfolio analysis
Discovery,Infrastructure Assessment,Analyze current infrastructure and OpenShift platform readiness,EO Engineer,32,='Estimate Settings'!$C$3,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",,Customer must provide infrastructure details and capacity information
Discovery,Application Assessment,Evaluate applications for containerization and migration priority,EO Engineer,32,='Estimate Settings'!$C$3,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",,Customer must provide application inventory and architecture documentation
Discovery,Compliance Review,Assess security governance and compliance requirements,EO Engineer,16,='Estimate Settings'!$C$3,=$E36*$F36,$175,"=TEXT($G36*$H36,""$#,##0"")",,Identifies regulatory requirements and security controls
