# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
User Base,Total Users,500 M365 E5 users,500 users,1000-2000 users,3000+ users,Users requiring Microsoft 365 E5 licenses,,,,,
User Base,User Roles,5 roles (employee manager admin executive guest),2-3 standard roles,4-6 roles,8+ roles with complex permissions,Employee manager admin executive guest roles,,,,,
M365 Services,M365 Services,Exchange SharePoint Teams OneDrive,Core services,Core + advanced,Full suite + custom,Microsoft 365 services and features enabled,,,,,
M365 Services,M365 License,E5 (security compliance productivity),E5 basic,E5 advanced,E5 + add-ons,Microsoft 365 licensing tier and features,,,,,
M365 Services,Email Migration Volume,250 GB total mailbox data,250 GB,1 TB,5+ TB,Email migration from on-premises Exchange,,,,,
M365 Services,File Migration Volume,5 TB SharePoint and OneDrive,5 TB,20 TB,100+ TB,File migration from on-premises file servers,,,,,
M365 Services,Teams Phone Users,150 users with PSTN calling,150 users,300 users,1000+ users,Teams Phone System with PSTN connectivity,,,,,
M365 Services,Audio Conferencing,200 users dial-in access,200 users,500 users,2000+ users,Teams audio conferencing dial-in capability,,,,,
M365 Services,External Sharing,Controlled external collaboration,Basic external sharing,Standard guest access,Advanced B2B collaboration,External collaboration and guest access complexity,,,,,
M365 Services,Support Coverage,24x7 user helpdesk support,Basic 8x5 support,Standard 24x5 support,Premium 24x7 support,User support coverage and SLA,,,,,
Security & Compliance,Security Requirements,Zero-trust Conditional Access MFA,Basic security,Standard zero-trust,Advanced threat protection,Security architecture and controls complexity,,,,,
Security & Compliance,Compliance Frameworks,SOC 2 GDPR HIPAA,1-2 basic standards,2-3 industry standards,Multiple complex frameworks,Regulatory compliance requirements,,,,,
Security & Compliance,Authentication,Azure AD Connect SSO with MFA,Azure AD basic,Azure AD standard,Federated multi-forest,Identity and access management complexity,,,,,
Security & Compliance,Device Management,Intune MDM for 500 endpoints,Basic MDM,Standard MDM,Advanced endpoint protection,Mobile device and endpoint management,,,,,
Technical Environment,Availability Requirements,99.9% (M365 SLA),99.9% standard,99.95% high availability,99.99% mission critical,Microsoft 365 service level agreement,,,,,
Technical Environment,Infrastructure Complexity,Hybrid Exchange during migration,Basic hybrid,Standard hybrid,Complex multi-forest,Hybrid cloud architecture complexity,,,,,
Technical Environment,Deployment Timeline,4 months pilot to production,4 months,6 months,12+ months,Migration timeline and deployment complexity,,,,,
Environment,Deployment Environments,2 environments (pilot production),2 environments (pilot production),3 environments (dev staging prod),4+ environments with pipelines,Environment management for Microsoft 365,,,,,
# ESTIMATE SETTINGS,,,,,,,,,,
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Foundation Setup, Pilot Deployment, Azure AD Connect)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (Email Migration, SharePoint Deployment, Teams Deployment)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Teams Phone, Security Hardening, Compliance Implementation)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Migration Testing, Security Testing, User Acceptance Testing)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Cutover, Hypercare Support, Optimization)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, Helpdesk Training, Champions Program)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Exchange Decommissioning)",,,,,,,
Management,MANAGEMENT_MX,1,"Project Management overhead - 10% of actual engineering hours",,,,,,,
Leadership,LEADERSHIP_MX,1,"Quarterback/Technical Leadership overhead - 10% of actual engineering hours",,,,,,,
# Level of Effort,
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,M365 Tenant Provisioning,Provision Microsoft 365 E5 tenant and domain verification,EO Engineer,16,='Estimate Settings'!$C$3,=$E33*$F33,$150,"=TEXT($G33*$H33,""$#,##0"")",,Tenant setup licensing and domain configuration
Discovery,Azure AD Connect Deployment,Deploy Azure AD Connect for identity synchronization and SSO,EO Engineer,32,='Estimate Settings'!$C$3,=$E34*$F34,$180,"=TEXT($G34*$H34,""$#,##0"")",,Identity sync SSO and MFA configuration
Discovery,Hybrid Exchange Configuration,Configure hybrid Exchange for mailbox coexistence,EO Engineer,24,='Estimate Settings'!$C$3,=$E35*$F35,$175,"=TEXT($G35*$H35,""$#,##0"")",Azure AD Connect Deployment,Hybrid setup enabling email migration
Discovery,Pilot Migration Planning,Plan pilot migration with 50 users across departments,EO Engineer,16,='Estimate Settings'!$C$3,=$E36*$F36,$150,"=TEXT($G36*$H36,""$#,##0"")",Hybrid Exchange Configuration,Pilot user selection and migration planning
Planning,Pilot Email Migration,Migrate 50 pilot users to Exchange Online,EO Engineer,32,='Estimate Settings'!$C$4,=$E37*$F37,$160,"=TEXT($G37*$H37,""$#,##0"")",Pilot Migration Planning,Pilot mailbox migration with validation
Planning,Pilot SharePoint Deployment,Deploy pilot SharePoint sites and file collaboration,EO Engineer,24,='Estimate Settings'!$C$4,=$E38*$F38,$155,"=TEXT($G38*$H38,""$#,##0"")",Pilot Email Migration,SharePoint site structure and pilot deployment
