# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0),,,,,,,,,,
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes,,,,,
Solution Scope,Management Groups,3-tier hierarchy,3-tier hierarchy,4-5 tier hierarchy,6+ tier complex hierarchy,Azure management group structure,,,,,
Solution Scope,Subscriptions,5-10 subscriptions,5-10 subscriptions,10-25 subscriptions,25+ subscriptions,Subscription organization model,,,,,
Integration,Hybrid Connectivity,ExpressRoute circuit,VPN only,ExpressRoute,ExpressRoute + VPN redundancy,On-premises to Azure connectivity,,,,,
Integration,Identity Federation,Azure AD Connect sync,Basic AD sync,AD Connect with PTA,AD FS federation,Identity synchronization method,,,,,
User Base,Total Users,500 Azure users,100-500 users,500-2000 users,2000+ users,Users with Azure access,,,,,
User Base,User Roles,10 custom RBAC roles,5-10 roles,10-20 roles,20+ roles with PIM,Role-based access control,,,,,
Data Volume,Workloads to Onboard,20-30 applications,10-30 apps,30-50 apps,50+ applications,Applications deploying to landing zone,,,,,
Data Volume,Policy Assignments,50 policy assignments,25-50 policies,50-100 policies,100+ policies,Azure Policy governance,,,,,
Technical Environment,Target Azure Regions,2 regions (East US West US),Single region,2-3 regions,4+ global regions,Azure region deployment,,,,,
Technical Environment,Availability Requirements,Standard (99.9%),Standard (99.5%),High availability (99.9%),Mission critical (99.95%+),Platform availability SLA,,,,,
Technical Environment,Infrastructure Complexity,Hub-spoke network topology,Basic hub-spoke,Advanced hub-spoke with FW,Multi-hub global mesh,Network architecture complexity,,,,,
Security & Compliance,Security Requirements,Azure Defender Standard,Basic security center,Azure Defender Standard,Defender for Cloud advanced,Cloud security posture management,,,,,
Security & Compliance,Compliance Frameworks,SOC2 ISO27001,1-2 basic standards,2-3 industry standards,Multiple complex frameworks,Regulatory compliance requirements,,,,,
Performance,Cost Management,Azure Cost Management,Basic budgets,Cost Management + optimization,FinOps practice,Cloud cost governance,,,,,
Performance,Governance Automation,Policy-driven governance,Manual governance,Policy automation,GitOps policy management,Governance automation level,,,,,
Environment,Deployment Environments,Landing zones for dev staging prod,2 landing zones,3-4 landing zones,5+ specialized landing zones,Landing zone segregation,,,,,
,,,,,,,,,,
# ESTIMATE SETTINGS - EO Sales Engineer Updates Multipliers Based on Customer Scope,,,,,,,,,,
Phase,Variable Name,Multiplier,Description / Applies To Tasks,,,,,,,
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Requirements Gathering, Environment Assessment, Azure Services Assessment, Compliance Review)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (Landing Zone Design, Identity Design, Network Architecture, Project Planning)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Management Groups, Policy Implementation, Network Infrastructure, Identity Implementation, Monitoring)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Unit Testing, Integration Testing, Performance Testing, Security Testing, UAT)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Deployment, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, End User Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)",,,,,,,
Management,MANAGEMENT_MX,1.5,Project Management overhead - 20% of actual engineering hours,,,,,,,
Leadership,LEADERSHIP_MX,1.5,Quarterback/Technical Leadership overhead - 25% of actual engineering hours,,,,,,,
,,,,,,,,,,
# Level of Effort,
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Azure Requirements Gathering,Conduct stakeholder interviews for Azure cloud strategy,EO Engineer,40,='Estimate Settings'!$C$24,=$E33*$F33,$150,"=TEXT($G33*$H33,""$#,##0"")",,Focus on governance scalability and business alignment
Discovery,Current Environment Assessment,Analyze existing infrastructure and Azure readiness,EO Engineer,32,='Estimate Settings'!$C$24,=$E34*$F34,$200,"=TEXT($G34*$H34,""$#,##0"")",,Include identity networking and application assessment
Discovery,Azure Services Assessment,Evaluate Azure services and landing zone requirements,EO Engineer,24,='Estimate Settings'!$C$24,=$E35*$F35,$200,"=TEXT($G35*$H35,""$#,##0"")",,Focus on management groups policies and compliance
Discovery,Compliance Review,Assess governance security and regulatory requirements,EO Engineer,16,='Estimate Settings'!$C$24,=$E36*$F36,$175,"=TEXT($G36*$H36,""$#,##0"")",,Include Azure Policy and compliance frameworks
