#WIDTH: 45,18,50,50,50,45,8,12,27,14,14,12,30,12
#ALIGN: left,left,left,left,left,left,center,left,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,Azure Document Intelligence,Azure Document Intelligence,Azure Document Intelligence,Full solution name for tagging,Yes,String,Max 50 characters,Public,Project Team,None,Display name in dashboards,2025-12-03
solution.abbr,Project,docintel,docintel,docintel,Solution abbreviation for resource naming,Yes,String,Max 10 characters,Public,Project Team,None,Used in all resource names,2025-12-03
solution.provider_name,Project,azure,azure,azure,Cloud provider name,Yes,String,aws|azure|gcp,Public,Project Team,None,EO Framework provider,2025-12-03
solution.category_name,Project,ai,ai,ai,Solution category,Yes,String,Valid category,Public,Project Team,None,EO Framework category,2025-12-03
azure.subscription_id,Project,[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],[SUBSCRIPTION_ID],Azure subscription identifier,Yes,String,GUID format,Confidential,Infrastructure,None,Required for deployment,2025-12-03
azure.tenant_id,Project,[TENANT_ID],[TENANT_ID],[TENANT_ID],Azure AD tenant identifier,Yes,String,GUID format,Confidential,Infrastructure,Azure AD,Required for authentication,2025-12-03
azure.region,Project,eastus,eastus,westus2,Primary Azure region for deployment,Yes,String,Valid Azure region,Public,Infrastructure,None,Primary region,2025-12-03
azure.dr_region,Project,westus2,westus2,eastus,DR region for failover,Yes,String,Valid Azure region,Public,Infrastructure,None,Secondary region,2025-12-03
ownership.cost_center,Project,CC-AI-001,CC-AI-001,CC-AI-001,Cost center for billing,Yes,String,Valid cost center,Public,Finance,None,Chargeback reporting,2025-12-03
ownership.owner_email,Project,ai-team@company.com,dev-team@company.com,ai-team@company.com,Technical owner email,Yes,String,Valid email,Public,Project Team,None,Alert notifications,2025-12-03
ownership.project_code,Project,PRJ-DOCINTEL-2025,PRJ-DOCINTEL-2025,PRJ-DOCINTEL-2025,Project code for tracking,Yes,String,Valid project code,Public,Project Team,None,Financial tracking,2025-12-03
network.vnet_cidr,Networking,10.0.0.0/16,10.1.0.0/16,10.2.0.0/16,Virtual network CIDR block,Yes,String,Valid CIDR,Public,Network Team,IP planning,Non-overlapping ranges,2025-12-03
network.subnet_functions,Networking,10.0.1.0/24,10.1.1.0/24,10.2.1.0/24,Subnet for Azure Functions,Yes,String,Valid CIDR,Public,Network Team,vnet_cidr,Function App delegation,2025-12-03
network.subnet_private_endpoints,Networking,10.0.2.0/24,10.1.2.0/24,10.2.2.0/24,Subnet for private endpoints,Yes,String,Valid CIDR,Public,Network Team,vnet_cidr,PaaS private access,2025-12-03
network.enable_private_endpoints,Networking,true,false,true,Enable private endpoints for services,Yes,Boolean,true|false,Public,Network Team,Premium,Security requirement,2025-12-03
compute.function_plan_type,Compute,Premium,Consumption,Premium,Function App hosting plan type,Yes,String,Consumption|Premium,Public,Infrastructure,Workload,Premium for VNet integration,2025-12-03
compute.function_plan_sku,Compute,EP1,Y1,EP1,Function plan SKU,Yes,String,Y1|EP1|EP2|EP3,Public,Infrastructure,Cost,Right-sized for workload,2025-12-03
compute.autoscale_min_instances,Compute,1,0,1,Minimum Function instances,Yes,Integer,0-10,Public,Infrastructure,Performance,Always warm for prod,2025-12-03
compute.autoscale_max_instances,Compute,10,3,5,Maximum Function instances,Yes,Integer,1-100,Public,Infrastructure,Cost,Scale cap,2025-12-03
storage.account_tier,Storage,Standard,Standard,Standard,Storage account tier,Yes,String,Standard|Premium,Public,Storage Team,Performance,Cost-effective,2025-12-03
storage.replication_type,Storage,GRS,LRS,GRS,Storage replication type,Yes,String,LRS|GRS|ZRS|GZRS,Public,Storage Team,DR,Geo-redundant for prod,2025-12-03
storage.input_container,Storage,input-documents,input-documents,input-documents,Container for incoming documents,Yes,String,Valid name,Public,Storage Team,Application,Document ingestion,2025-12-03
storage.processed_container,Storage,processed-documents,processed-documents,processed-documents,Container for processed documents,Yes,String,Valid name,Public,Storage Team,Application,Successful processing,2025-12-03
storage.failed_container,Storage,failed-documents,failed-documents,failed-documents,Container for failed documents,Yes,String,Valid name,Public,Storage Team,Application,Error handling,2025-12-03
storage.archive_container,Storage,archive-documents,archive-documents,archive-documents,Container for archived documents,Yes,String,Valid name,Public,Storage Team,Application,Long-term storage,2025-12-03
storage.retention_hot_days,Storage,30,7,30,Days in hot tier before transition,Yes,Integer,7-90,Public,Storage Team,Cost,Lifecycle management,2025-12-03
storage.retention_cool_days,Storage,60,14,60,Days in cool tier before archive,Yes,Integer,30-180,Public,Storage Team,Cost,Lifecycle management,2025-12-03
storage.retention_total_days,Storage,2555,90,2555,Total retention in days (7 years),Yes,Integer,30-3650,Public,Storage Team,Compliance,Regulatory requirement,2025-12-03
database.cosmos_offer_type,Database,Standard,Standard,Standard,Cosmos DB offer type,Yes,String,Standard,Public,Database Team,None,Standard tier,2025-12-03
database.cosmos_consistency_level,Database,Session,Session,Session,Consistency level for reads,Yes,String,Strong|Session|Eventual,Public,Database Team,Application,Session for performance,2025-12-03
database.cosmos_database_name,Database,documentprocessing,documentprocessing,documentprocessing,Database name,Yes,String,Valid name,Public,Database Team,Application,Main database,2025-12-03
database.cosmos_metadata_container,Database,document-metadata,document-metadata,document-metadata,Container for document metadata,Yes,String,Valid name,Public,Database Team,Application,Document tracking,2025-12-03
database.cosmos_results_container,Database,extraction-results,extraction-results,extraction-results,Container for extraction results,Yes,String,Valid name,Public,Database Team,Application,OCR results,2025-12-03
database.cosmos_max_throughput,Database,4000,1000,4000,Maximum RU/s for autoscale,Yes,Integer,1000-100000,Public,Database Team,Performance,Autoscale ceiling,2025-12-03
database.cosmos_enable_free_tier,Database,false,true,false,Enable free tier pricing,Yes,Boolean,true|false,Public,Database Team,Cost,Test only,2025-12-03
database.cosmos_backup_type,Database,Continuous,Periodic,Continuous,Backup type for Cosmos DB,Yes,String,Continuous|Periodic,Public,Database Team,DR,PITR for prod,2025-12-03
database.cosmos_backup_interval_hours,Database,4,12,4,Backup interval in hours (Periodic),Yes,Integer,1-24,Public,Database Team,DR,Only for Periodic,2025-12-03
database.cosmos_backup_retention_hours,Database,720,168,720,Backup retention in hours,Yes,Integer,8-720,Public,Database Team,Compliance,30 days for prod,2025-12-03
security.enable_customer_managed_key,Security,true,false,true,Use customer-managed key for encryption,Yes,Boolean,true|false,Public,Security Team,Compliance,CMK for prod,2025-12-03
security.admin_group_id,Security,[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],[ADMIN_GROUP_ID],Azure AD group for administrators,Yes,String,GUID format,Confidential,Security Team,Azure AD,Full access,2025-12-03
security.reviewer_group_id,Security,[REVIEWER_GROUP_ID],[REVIEWER_GROUP_ID],[REVIEWER_GROUP_ID],Azure AD group for reviewers,Yes,String,GUID format,Confidential,Security Team,Azure AD,Read access,2025-12-03
security.user_group_id,Security,[USER_GROUP_ID],[USER_GROUP_ID],[USER_GROUP_ID],Azure AD group for end users,Yes,String,GUID format,Confidential,Security Team,Azure AD,Limited access,2025-12-03
application.environment,Application,production,development,disaster-recovery,Deployment environment identifier,Yes,String,Valid env name,Public,Development,None,Environment tag,2025-12-03
application.log_level,Application,INFO,DEBUG,INFO,Logging verbosity level,Yes,String,DEBUG|INFO|WARN|ERROR,Public,Development,None,Application logging,2025-12-03
application.confidence_threshold,Application,0.85,0.80,0.85,Minimum confidence for auto-approval,Yes,Number,0.1-1.0,Public,Development,ML Model,OCR confidence,2025-12-03
docintel.sku,Application,S0,S0,S0,Document Intelligence SKU,Yes,String,F0|S0,Public,AI Team,None,S0 for production,2025-12-03
docintel.model_invoice,Application,prebuilt-invoice,prebuilt-invoice,prebuilt-invoice,Pre-built model for invoices,Yes,String,Valid model ID,Public,AI Team,None,Invoice extraction,2025-12-03
docintel.model_receipt,Application,prebuilt-receipt,prebuilt-receipt,prebuilt-receipt,Pre-built model for receipts,Yes,String,Valid model ID,Public,AI Team,None,Receipt extraction,2025-12-03
docintel.model_custom,Application,custom-forms-v1,,custom-forms-v1,Custom trained model ID,No,String,Valid model ID,Public,AI Team,Training,Custom model,2025-12-03
docintel.enable_custom_model,Application,true,false,true,Enable custom model usage,Yes,Boolean,true|false,Public,AI Team,Training,Custom model toggle,2025-12-03
monitoring.enable_alerts,Monitoring,true,false,true,Enable monitoring alerts,Yes,Boolean,true|false,Public,Operations,None,Alert configuration,2025-12-03
monitoring.enable_dashboard,Monitoring,true,false,true,Enable Azure dashboard,Yes,Boolean,true|false,Public,Operations,None,Monitoring dashboard,2025-12-03
monitoring.log_retention_days,Monitoring,90,30,90,Log retention in days,Yes,Integer,30-730,Public,Operations,Compliance,Log Analytics retention,2025-12-03
monitoring.alert_email,Monitoring,ops-team@company.com,dev-team@company.com,ops-team@company.com,Email for critical alerts,Yes,String,Valid email,Confidential,Operations,None,Alert notifications,2025-12-03
monitoring.health_check_interval,Monitoring,300,600,300,Health check frequency in seconds,Yes,Integer,60-3600,Public,Operations,None,Availability monitoring,2025-12-03
dr.enabled,DR,true,false,true,Enable disaster recovery,Yes,Boolean,true|false,Public,DR Team,DR,DR infrastructure,2025-12-03
dr.replication_enabled,DR,true,false,false,Enable storage replication,Yes,Boolean,true|false,Public,DR Team,DR,Cross-region replication,2025-12-03
dr.failover_priority,DR,1,0,0,Failover priority (0=disabled),Yes,Integer,0-2,Public,DR Team,DR,Cosmos DB failover,2025-12-03
budget.enabled,Best Practices,true,true,true,Enable cost budgets,Yes,Boolean,true|false,Public,Finance,None,Cost management,2025-12-03
budget.monthly_amount,Best Practices,2000,500,1000,Monthly budget in USD,Yes,Integer,100-100000,Public,Finance,None,Budget threshold,2025-12-03
budget.alert_thresholds,Best Practices,"[50,80,100]","[80,100]","[50,80,100]",Alert thresholds as percentages,Yes,List(Number),Valid percentages,Public,Finance,None,Alert triggers,2025-12-03
budget.notification_email,Best Practices,finance@company.com,dev-team@company.com,finance@company.com,Email for budget alerts,Yes,String,Valid email,Confidential,Finance,None,Cost notifications,2025-12-03
policy.enable_security_policies,Best Practices,true,false,true,Enable Azure security policies,Yes,Boolean,true|false,Public,Security Team,Azure Policy,Security governance,2025-12-03
policy.enable_cost_policies,Best Practices,true,true,true,Enable cost management policies,Yes,Boolean,true|false,Public,Finance,Azure Policy,Cost governance,2025-12-03
policy.enable_operational_policies,Best Practices,true,false,true,Enable operational policies,Yes,Boolean,true|false,Public,Operations,Azure Policy,Operational governance,2025-12-03
backup.enabled,Best Practices,true,false,true,Enable backup services,Yes,Boolean,true|false,Public,Operations,DR,Backup automation,2025-12-03
backup.retention_days,Best Practices,30,7,30,Backup retention in days,Yes,Integer,7-365,Public,Operations,Compliance,Backup retention,2025-12-03
