# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,Primary Features/Capabilities,DNA Center for 200 devices,DNA Center for 200 devices,DNA Center for 500 devices,DNA Center for 1000+ devices,Network automation and assurance,,,,
Solution Scope,Customization Level,Standard DNA Center deployment,Standard DNA Center deployment,Custom policy templates and workflows,Extensive custom integrations and automation,Configuration vs custom development,,,,
Integration,External System Integrations,2 systems (AD + ITSM),2 systems (AD + ITSM),4 systems (AD ITSM IPAM monitoring),6+ systems including SIEM and orchestration,ServiceNow NetBox integration,,,,
Integration,Data Sources,Network devices only,Network devices only,Network + IPAM + monitoring data,Network + IPAM + monitoring + external CMDBs,Device discovery and telemetry,,,,
User Base,Total Users,10 network administrators,10 network administrators,25 network team members,50+ distributed team members,DNA Center users and operators,,,,
User Base,User Roles,2 roles (admin + viewer),2 roles (admin + viewer),4 roles with delegation,6+ roles with complex RBAC,Role-based access control,,,,
Data Volume,Data Processing Volume,200 devices telemetry,200 devices telemetry,500 devices high-frequency telemetry,1000+ devices with NetFlow,Network assurance and analytics data,,,,
Data Volume,Data Storage Requirements,500 GB (90-day retention),500 GB (90-day retention),2 TB (1-year retention),5+ TB (multi-year retention),Telemetry logs and analytics data,,,,
Technical Environment,Deployment Regions,Single data center,Single data center,2 data centers with HA,Multi-site with geographic redundancy,DNA Center deployment architecture,,,,
Technical Environment,Availability Requirements,Standard (99.5%),Standard (99.5%),High availability (99.9%),Mission critical (99.95%+),DNA Center uptime SLA,,,,
Technical Environment,Infrastructure Complexity,Basic campus network,Basic campus network,Campus + branch + data center,Complex multi-domain fabric architecture,Network topology complexity,,,,
Security & Compliance,Security Requirements,Basic 802.1X and encryption,Basic 802.1X and encryption,TrustSec segmentation + ISE,Advanced TrustSec + compliance automation,Network security and access control,,,,
Security & Compliance,Compliance Frameworks,Basic logging,Basic logging,PCI DSS or HIPAA,Multiple regulatory frameworks,Compliance automation requirements,,,,
Performance,Performance Requirements,Standard telemetry,Standard telemetry,Enhanced analytics and reporting,Real-time analytics with AI insights,Network assurance performance,,,,
Environment,Deployment Environments,Production only,Production only,Lab + production,Lab + staging + production + DR,Testing and validation environments,,,,
# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (Network Assessment, Device Inventory, Requirements Gathering, Integration Analysis)",,,,,,,
Planning,PLANNING_MX,1,"All Planning phase tasks (Architecture Design, Policy Framework, Migration Planning, Training Plan)",,,,,,,
Development,DEVELOPMENT_MX,1,"All Development phase tasks (DNA Center Deployment, Device Onboarding, Policy Configuration, Integration Setup)",,,,,,,
Testing,TESTING_MX,1,"All Testing phase tasks (Lab Testing, Pilot Validation, Policy Testing, Failover Testing)",,,,,,,
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Deployment, Device Migration, Policy Rollout, Go-Live Support)",,,,,,,
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, Operations Training, Documentation)",,,,,,,
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline, Operational Handoff)",,,,,,,
Management,MANAGEMENT_MX,0.25,"Project management and technical leadership (25% of total engineering effort)",,,,,,,
# LEVEL OF EFFORT
#WIDTH: 14,30,40,18,10,12,18,14,12,40
#ALIGN: left,left,left,left,right,right,left,left,left,left
Phase,Work Package,Task Description,Resource Type,Estimated Hours,Rate,Cost Estimate,Dependencies,Risk Level,Notes
Discovery,Network Assessment,Assess current network infrastructure and Cisco device inventory,"=ROUND($C$23*40,0)",40,200,"=TEXT(E17*F17,""$#,##0"")",,Medium,200 devices analysis and capacity planning,,
Discovery,DNA Center Requirements,Gather DNA Center requirements and use case definition,"=ROUND($C$23*32,0)",32,200,"=TEXT(E18*F18,""$#,##0"")",,Medium,Policy framework and automation goals,,
Discovery,Integration Analysis,Analyze integration requirements for AD ITSM and IPAM,"=ROUND($C$23*24,0)",24,225,"=TEXT(E19*F19,""$#,##0"")",,Medium,ServiceNow and NetBox integration planning,,
Discovery,Application Inventory,Identify critical applications for monitoring and SLA policies,"=ROUND($C$23*16,0)",16,175,"=TEXT(E20*F20,""$#,##0"")",,Low,Office 365 SAP VoIP applications,,
Planning,Solution Architecture,Design DNA Center architecture and HA deployment,"=ROUND($C$24*48,0)",48,225,"=TEXT(E21*F21,""$#,##0"")",Network Assessment,Medium,Primary and secondary DNA Center nodes,,
Planning,Network Policy Framework,Design authentication authorization and assurance policies,"=ROUND($C$24*40,0)",40,200,"=TEXT(E22*F22,""$#,##0"")",Requirements,Medium,802.1X TrustSec and compliance policies,,
Planning,Migration Strategy,Plan phased device onboarding and migration approach,"=ROUND($C$24*32,0)",32,200,"=TEXT(E23*F23,""$#,##0"")",Assessment,Medium,Pilot sites and rollout waves,,
Planning,Training Plan,Develop training curriculum for administrators and operators,"=ROUND($C$24*16,0)",16,175,"=TEXT(E24*F24,""$#,##0"")",,Low,Hands-on labs and certification prep,,
Development,DNA Center Deployment,Deploy and configure DNA Center appliances,"=ROUND($C$25*60,0)",60,200,"=TEXT(E25*F25,""$#,##0"")",Architecture Design,Medium,HA pair installation and base configuration,,
Development,Device Discovery,Discover and onboard 200 network devices,"=ROUND($C$25*80,0)",80,175,"=TEXT(E26*F26,""$#,##0"")",DNA Center Setup,Medium,Automated discovery and manual addition,,
Development,Policy Configuration,Configure network policies templates and automation,"=ROUND($C$25*60,0)",60,200,"=TEXT(E27*F27,""$#,##0"")",Policy Framework,Medium,Authentication VLAN assignment ACLs,,
Development,AI Analytics Setup,Configure AI network analytics and assurance features,"=ROUND($C$25*40,0)",40,225,"=TEXT(E28*F28,""$#,##0"")",Device Onboarding,Medium,Predictive insights and anomaly detection,,
Development,Integration Setup,Integrate with AD ServiceNow and NetBox,"=ROUND($C$25*40,0)",40,200,"=TEXT(E29*F29,""$#,##0"")",Policy Config,Medium,Identity source ITSM and IPAM integration,,
Development,Application Monitoring,Configure application experience monitoring,"=ROUND($C$25*32,0)",32,200,"=TEXT(E30*F30,""$#,##0"")",AI Analytics,Low,Office 365 Webex SAP monitoring,,
Testing,Lab Validation,Test DNA Center policies in lab environment,"=ROUND($C$26*32,0)",32,175,"=TEXT(E31*F31,""$#,##0"")",Policy Config,Medium,GNS3 or physical lab testing,,
Testing,Pilot Deployment,Deploy to 20 pilot devices for validation,"=ROUND($C$26*40,0)",40,175,"=TEXT(E32*F32,""$#,##0"")",Lab Validation,Medium,IT department or friendly site,,
Testing,Policy Testing,Validate authentication authorization and analytics,"=ROUND($C$26*32,0)",32,175,"=TEXT(E33*F33,""$#,##0"")",Pilot Deployment,Medium,End-to-end workflow testing,,
Testing,Failover Testing,Test DNA Center HA and device failover scenarios,"=ROUND($C$26*24,0)",24,200,"=TEXT(E34*F34,""$#,##0"")",Pilot Success,Medium,Controller failover and network resilience,,
Deployment,Production Deployment,Deploy remaining 180 devices to DNA Center,"=ROUND($C$27*80,0)",80,175,"=TEXT(E35*F35,""$#,##0"")",Testing Complete,Medium,Phased rollout by site or device type,,
Deployment,Policy Rollout,Enable enforcement policies across network,"=ROUND($C$27*40,0)",40,200,"=TEXT(E36*F36,""$#,##0"")",Device Migration,High,Gradual policy enforcement,,
Deployment,Monitoring Activation,Activate assurance monitoring and alerting,"=ROUND($C$27*24,0)",24,175,"=TEXT(E37*F37,""$#,##0"")",Policy Rollout,Medium,CloudWatch and ITSM integration,,
Deployment,Go-Live Support,Provide hypercare support during stabilization,"=ROUND($C$27*48,0)",48,150,"=TEXT(E38*F38,""$#,##0"")",Production Rollout,Medium,4-week post-deployment support,,
Training,Administrator Training,Train DNA Center administrators on operations,"=ROUND($C$28*24,0)",24,175,"=TEXT(E39*F39,""$#,##0"")",Deployment Complete,Low,Policy management and troubleshooting,,
Training,Operations Training,Train network team on assurance and analytics,"=ROUND($C$28*16,0)",16,150,"=TEXT(E40*F40,""$#,##0"")",Admin Training,Low,Dashboard usage and incident response,,
Training,Documentation,Create runbooks and operational documentation,"=ROUND($C$28*32,0)",32,150,"=TEXT(E41*F41,""$#,##0"")",,Low,SOPs troubleshooting guides best practices,,
Closeout,Knowledge Transfer,Transfer solution to operations team,"=ROUND($C$29*16,0)",16,175,"=TEXT(E42*F42,""$#,##0"")",Training Complete,Low,Operational handoff and escalation procedures,,
Closeout,Performance Baseline,Establish performance baselines and KPIs,"=ROUND($C$29*16,0)",16,175,"=TEXT(E43*F43,""$#,##0"")",Go-Live,Low,MTTR uptime and automation metrics,,
Management,Technical Leadership,Technical quarterback and architecture oversight,"=ROUND(SUM(E17:E43)*$C$30,0)","=ROUND(SUM(E17:E43)*0.25,0)",225,"=TEXT(E44*F44,""$#,##0"")",,Medium,25% of total engineering effort,,
Management,Project Management,Project coordination and stakeholder management,"=ROUND(SUM(E17:E43)*0.20,0)","=ROUND(SUM(E17:E43)*0.20,0)",175,"=TEXT(E45*F45,""$#,##0"")",,Low,20% of total engineering effort,,
,,,TOTAL HOURS,"=SUM(E17:E45)",TOTAL COST,"=TEXT(SUM(G17:G45),""$#,##0"")",,,Total DNA Center implementation cost,,
# CREDITS
#WIDTH: 25,28,18,60
#ALIGN: left,left,right,left
Category,Credit Type,Credit Amount,Credit Comments
Hardware,Cisco SmartNet Renewal,"($5000)",Existing SmartNet contract renewal credit applied
Software,DNA License Promotion,"($20000)",Year 1 DNA Advantage license 33% discount promotion
Professional Services,Implementation Services,$0,No professional services credits available
Support & Maintenance,Annual Support Credit,$0,No support renewal credits available
